Time,Num Clicks
1578938653,10
1579046457,11
1579219344,12
1579276029,13
1579362425,14
1579737681,16
1580163341,18
1580342414,20
1580400058,24
1580428860,25
1580515212,26
1580774411,31
1580832061,33
1580926191,37
1581025834,38
1581062446,40
1581264058,41
1581897660,42
1581955244,54
1582012847,57
1582329644,59
1582444847,61
1582473631,62
1582485175,9073
1582485633,131386
1582502445,132274
1582531231,132355
1582560044,132366
1582577800,133748
1582588813,134356
1582617646,134733
1582704049,137623
1582732859,138464
1582790445,140213
1582819246,140283
1582848018,141746
1582934429,143393
1582963249,143716
1582992061,144460
1583020864,145407
1583049633,146039
1583078459,146172
1583107261,146189
1583136049,146955
1583164865,147146
1583222447,147665
1583251261,148846
1583280039,150306
1583308848,150683
1583337662,151479
1583366425,152378
1583395248,152560
1583424047,153510
1583452827,154522
1583454262,155152
1583520700,155184
1583539212,155911
1583596859,156393
1583625660,156895
1583654445,157087
1583679658,157217
1583708458,158585
1583737245,158897
1583766058,159758
1583881262,163247
1583910030,163499
1583938859,164651
1583967660,165743
1583996446,166531
1584025259,167482
1584054012,168722
1584062431,169040
1584082830,169359
1584111645,169448
1584140460,169741
1584169211,170040
1584198010,170280
1584226810,171455
1584255611,173000
1584284411,173542
1584313212,174896
1584342047,175716
1584399662,176900
1584428447,177422
1584457260,177709
1584486014,179185
1584514815,179536
1584543614,179914
1584572415,180151
1584601249,180513
1584630059,180970
1584642674,181212
1584644153,181228
1584658819,181646
1584661755,181799
1584716416,182425
1584745229,184245
1584774023,184563
1584802818,184587
1584831618,185739
1584860420,186658
1584889217,186821
1584918018,188816
1584946819,189150
1584975617,189151
1585004435,190671
1585033217,191002
1585062019,191998
1585075715,193424
1585090821,195367
1585110279,196237
1585119653,196304
1585148462,196523
1585161830,197015
1585176584,198941
1585176633,198944
1585177220,198994
1585206048,200307
1585234862,200741
1585263651,201221
1585292447,201581
1585321262,201804
1585350066,203575
1585378851,204611
1585407662,204995
1585436462,208469
1585441434,208908
1585465249,210104
1585494062,210513
1585505011,210722
1585505794,210728
1585506672,210729
1585506691,210730
1585506896,210733
1585507476,210735
1585508044,210736
1585513680,210740
1585518317,210926
1585522831,211437
1585538447,211613
1585551649,211695
1585580462,212068
1585588749,212175
1585609263,213654
1585622440,214033
1585638029,214119
1585666817,214596
1585677513,215449
1585695628,216650
1585724420,216945
1585753217,217431
1585756702,217630
1585767742,218306
1585770828,218677
1585782016,219381
1585785547,219569
1585810832,219887
1585839616,220567
1585868415,221254
1585897222,221602
1585926015,222467
1585948974,224019
1585954821,224423
1585983613,224623
1586012412,225670
1586041224,227215
1586070017,228193
1586098812,228643
1586116310,229043
1586126301,230181
1586127620,230215
1586156416,230750
1586185214,230946
1586214015,232638
1586242813,233663
1586271612,233792
1586300414,234663
1586329214,235357
1586358014,236138
1586366475,237462
1586386817,238339
1586415618,238874
1586444413,239185
1586466769,241761
1586473222,244219
1586475794,245479
1586502033,250502
1586530826,256124
1586559370,262788
1586559614,262814
1586588429,266309
1586617218,268302
1586623001,269235
1586646020,272767
1586651967,274002
1586705661,277521
1586732442,280451
1586888939,291672
1586905271,294226
1586934082,296654
1586962874,298415
1586982996,300392
1586991656,301969
1586998623,302460
1587020460,304276
1587049274,305532
1587070750,308611
1587078139,310042
1587106875,311740
1587135672,314922
1587164474,320833
1587222075,326166
1587250878,331631
1587262544,333425
1587279664,334390
1587337273,338214
1587366071,338793
1587394875,340727
1587402201,340920
1587423647,342691
1587452462,343367
1587481273,345038
1587538820,348064
1587567619,349060
1587574050,350021
1587596422,351008
1587625218,351532
1587654017,352432
1587682820,354823
1587711618,356030
1587740417,357429
1587839946,363544
1587849113,364906
1587855674,365198
1587884418,366056
1587913219,370470
1587942018,374091
1587970822,375372
1587999620,377691
1588005843,378844
1588028420,381873
1588057226,384495
1588086021,388719
1588094724,389478
1588114851,393229
1588143680,394337
1588201284,401965
1588230082,402823
1588258889,405870
1588268862,406335
1588287638,409594
1588316460,410451
1588345241,412755
1588371976,416665
1588374040,416894
1588460458,423401
1588489278,424752
1588546854,430093
1588575683,431251
1588604479,432087
1588633280,435094
1588662076,436476
1588690881,437500
1588714279,441252
1588721352,441964
1588722271,441997
1588724668,442081
1588734873,442591
1588735889,442597
1588736810,442617
1588748494,442759
1588777295,444068
1588790992,445202
1588806054,447184
1588834870,447729
1588863651,450524
1588872137,451057
1588964224,455523
1589047169,459192
1589047274,459197
1589065317,461471
1589094099,462031
1589122895,462942
1589151696,465306
1589180485,465705
1589209296,466445
1589238099,469218
1589266907,469226
1589324478,471730
1589353298,471889
1589382099,472644
1589410900,475836
1589439686,476140
1589497313,480605
1589516454,482687
1589520329,483073
1589526103,483263
1589554917,488257
1589575345,492842
1589583672,494807
1589663281,500702
1589670118,502137
1589727706,505824
1589756496,509492
1589814104,513604
1589842903,515260
1589871709,516809
1589900507,520480
1589905945,520598
1589929296,522097
1589986910,526376
1590015706,528397
1590044508,529781
1590073307,533427
1590130919,537249
1590204374,537250
1590246091,540293
1590274908,543085
1590303678,544394
1590332491,545272
1590426128,555124
1590447696,559651
1590476501,561290
1590505280,563416
1590534063,565678
1590562872,566457
