citystring	mean_dist	std_dist	mean_time	std_time	num_guesses	dists0	dists1	dists2	dists3	dists4	dists5	dists6	dists7	dists8	dists9	dists10	dists11	dists12	dists13	dists14	dists15	times0	times1	times2	times3	times4	times5	times6	times7	times8	times9	times10	times11	times12	times13	times14	times15	region0	region1	region2	region3	region4	region5	region6	region7	region8	region9	region10	region11	region12	region13	region14	region15	country0	country1	country2	country3	country4	country5	country6	country7	country8	country9	country10	country11	country12	country13	country14	country15
Skikda, Algeria	341.9913722746656	188.59650678412189	7.490476190476199	0.8199330761916498	7	98.66474505232135	238.8153576076351	387.2624824085234	530.2795359190582	169.51212842620603	296.09815838356593	673.3071981253489										8.400000000000006	7.800000000000008	6.500000000000012	7.666666666666675	7.800000000000008	8.23333333333334	6.033333333333347										California	California	Pennsylvania	North Carolina	Aargau	Aargau	Mississippi										United States	United States	United States	United States	Switzerland	Switzerland	United States									
Tahoua, Niger	339.8479107705852	182.52074464330443	7.694444444444453	0.343412432456123	6	340.087109214799	152.83277722030218	675.2788870927727	148.0899690841827	447.1146976363875	275.6840243750671											7.733333333333341	8.000000000000007	7.533333333333342	8.066666666666674	7.033333333333344	7.800000000000008											New South Wales	California	Aargau	Aargau	Aargau	Aargau											Australia	United States	Switzerland	Switzerland	Switzerland	Switzerland										
Oyo, Nigeria	339.5894263090322	0	8.533333333333339	0	1	339.5894263090322																8.533333333333339																California																United States															
Labé, Guinea	339.26980196990417	112.46498306161867	6.816666666666677	0.882074574826613	6	586.420590368216	253.00333218165062	291.77621053793695	297.26061103977514	283.6197845314321	323.53828316041415											6.2000000000000135	7.066666666666677	5.166666666666684	7.366666666666676	7.800000000000008	7.30000000000001											California	Aargau	Alberta	Aargau	Alberta	Aargau											United States	Switzerland	Canada	Switzerland	Canada	Switzerland										
Al ‘Arīsh, Egypt	338.78121719193524	60.54864919068472	7.573333333333342	1.1021998205608798	5	293.4613572887526	406.2833651912885	405.39282559082227	335.25590034711735	253.5126375416954												8.733333333333338	8.433333333333339	6.600000000000012	5.933333333333348	8.166666666666673												California	Aargau	England	England	Aargau												United States	Switzerland	United Kingdom	United Kingdom	Switzerland											
Ibadan, Nigeria	338.5843540154099	96.99958488497427	7.916666666666674	0.9382311963358346	4	341.4973805109422	259.1641703703587	495.9869024352783	257.6889627450602													6.300000000000013	8.533333333333339	8.300000000000006	8.533333333333339													California	California	Aargau	Aargau													United States	United States	Switzerland	Switzerland												
Lobito, Angola	338.1253378417434	293.4608404520223	7.12000000000001	1.554934796775159	10	216.33317764555426	425.73453336173804	409.2031073342056	158.31298023322333	125.96544247512622	238.73660912695985	1171.793095824	255.10818462339662	171.9626035540103	208.1036442392196							3.8333333333333552	4.466666666666686	7.266666666666676	8.400000000000006	7.833333333333341	8.03333333333334	8.366666666666672	8.066666666666674	6.900000000000011	8.03333333333334							Île-de-France	Michigan	California	California	California	Västerbotten	Aargau	Aargau	New York	Aargau							France	United States	United States	United States	United States	Sweden	Switzerland	Switzerland	United States	Switzerland						
Nazrēt, Ethiopia	335.9334294927883	215.2652270300935	7.10000000000001	1.150724409520654	8	198.95175457495623	148.79709876250755	412.19611566427295	370.5437542967747	280.06790852410415	241.45561013608193	177.30886009406498	858.1463338895438									7.933333333333341	8.13333333333334	5.766666666666682	6.600000000000012	7.466666666666676	8.000000000000007	8.03333333333334	4.866666666666685									California	California	Pennsylvania	North Carolina	Aargau	Alberta	Aargau	Georgia									United States	United States	United States	United States	Switzerland	Canada	Switzerland	United States								
Benguela, Angola	335.8583431652363	308.7300532494051	7.814285714285722	0.7508423085679156	7	56.841323058990945	121.79452920568038	250.46336975554448	233.01442818387986	1026.333757714661	487.579125905963	174.98186833193466										7.9000000000000075	8.300000000000006	8.33333333333334	8.300000000000006	6.033333333333347	7.966666666666674	7.866666666666674										California	Aargau	Aargau	Aargau	Alberta	Aargau	Aargau										United States	Switzerland	Switzerland	Switzerland	Canada	Switzerland	Switzerland									
El Obeid, Sudan	328.2157675154107	172.88347403894446	7.846666666666676	0.5512007095625151	5	83.3523317476196	249.81423496323265	342.0336421355329	350.1445668455693	615.734061885099												7.933333333333341	7.9000000000000075	6.800000000000011	8.266666666666673	8.33333333333334												New South Wales	Västerbotten	North Carolina	Aargau	Aargau												Australia	Sweden	United States	Switzerland	Switzerland											
Windhoek, Namibia	327.86087546640493	386.3296952931474	7.780000000000008	0.6477653896280636	10	164.39437304272306	284.6044494062786	1474.307704613038	253.52772089871428	226.80206716782484	241.27178070313147	103.7930919778999	106.51354513456471	220.31431103819844	203.07971068167632							8.166666666666673	8.466666666666672	8.000000000000007	8.23333333333334	8.200000000000006	8.200000000000006	6.900000000000011	8.066666666666674	6.533333333333346	7.033333333333344							California	Västerbotten	California	Aargau	Aargau	Aargau	Aargau	California	California	Aargau							United States	Sweden	United States	Switzerland	Switzerland	Switzerland	Switzerland	United States	United States	Switzerland						
Benghazi, Libya	325.49169389796174	215.09951473558073	7.0033333333333445	0.9462733924893625	10	142.05588201687533	244.60215515122596	458.4020538820316	65.01108966571338	591.3329999552863	168.97045024782025	198.85188508640863	186.13852200652596	766.9281784521945	432.6237225155355							7.400000000000009	8.266666666666673	7.4333333333333425	8.03333333333334	7.033333333333344	6.133333333333347	7.20000000000001	5.2666666666666835	5.666666666666682	7.6000000000000085							Aargau	California	California	New South Wales	California	Aargau	England	England	Aargau	Aargau							Switzerland	United States	United States	Australia	United States	Switzerland	United Kingdom	United Kingdom	Switzerland	Switzerland						
Minna, Nigeria	324.76019498461324	96.61573306974547	8.03333333333334	0.19293061504650308	4	336.00007512247504	384.939103843579	164.47102319758545	413.6305777748135													7.833333333333341	8.066666666666674	8.33333333333334	7.9000000000000075													New South Wales	Aargau	Aargau	Saxony													Australia	Switzerland	Switzerland	Germany												
Agadez, Niger	322.7015952783542	70.05541383796074	6.820000000000012	1.2152000292590108	5	260.8562237717834	440.20715852733707	299.23968246171887	360.62824471709496	252.5766669138368												4.900000000000018	7.966666666666674	8.200000000000006	6.900000000000011	6.133333333333347												Aargau	Aargau	Aargau	Aargau	Aargau												Switzerland	Switzerland	Switzerland	Switzerland	Switzerland											
Polokwane, South Africa	321.0541091145018	1.605349538839306	5.133333333333351	3.133333333333322	2	322.65945865334106	319.44875957566245															2.0000000000000284	8.266666666666673															Aargau	Aargau															Switzerland	Switzerland														
Kafr ash Shaykh, Egypt	320.44832029801603	68.5853730982205	7.2166666666666766	0.18333333333333268	2	251.8629471997955	389.0336933962365															7.400000000000009	7.033333333333344															Aargau	Mississippi															Switzerland	United States														
Klerksdorp, South Africa	320.208722796281	217.0114248967679	8.211111111111117	0.07856742013183833	3	625.6126125636162	141.2906399471474	193.72291587807942														8.266666666666673	8.266666666666673	8.100000000000007														Alberta	Aargau	Aargau														Canada	Switzerland	Switzerland													
Laghouat, Algeria	317.16125389301135	65.98840374958513	8.05333333333334	0.2654974366898641	5	330.8304800083067	336.4731300780219	225.28963958224236	272.31616353944247	420.89685625704357												7.6000000000000085	8.266666666666673	8.000000000000007	8.366666666666672	8.03333333333334												Aargau	Aargau	Aargau	Aargau	Aargau												Switzerland	Switzerland	Switzerland	Switzerland	Switzerland											
Kumba, Cameroon	315.6752166862726	172.02030056893415	6.833333333333345	1.0260495981080886	4	97.86779889897096	579.8898990230001	296.8102780142231	288.13289080889626													8.300000000000006	7.20000000000001	6.26666666666668	5.566666666666682													California	Aargau	England	England													United States	Switzerland	United Kingdom	United Kingdom												
Banhā, Egypt	314.37999020076495	0	8.533333333333339	0	1	314.37999020076495																8.533333333333339																New South Wales																Australia															
Asyūţ, Egypt	314.31582809189916	44.640318617341485	7.841666666666674	0.5692953734417837	4	251.35106578301878	329.1594064684489	302.1251104136399	374.6277297024889													8.266666666666673	6.866666666666678	8.200000000000006	8.03333333333334													Aargau	Aargau	Aargau	Aargau													Switzerland	Switzerland	Switzerland	Switzerland												
Koutiala, Mali	310.6083942124445	241.7932211115262	7.396296296296305	0.7247723260129212	9	243.20000750555346	96.67405739120251	189.5000381552848	755.1249991817105	218.83214516970952	247.98588751985025	747.163167644873	212.2051024963108	84.79014284750623								7.966666666666674	8.03333333333334	6.533333333333346	6.26666666666668	7.500000000000009	8.366666666666672	6.766666666666678	7.033333333333344	8.100000000000007								New South Wales	New South Wales	North Carolina	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau								Australia	Australia	United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland							
Biskra, Algeria	309.4129306665244	250.72551362890053	7.933333333333342	0.6250333324444897	5	250.97355094000858	245.98168859868355	191.80014231595982	792.7263704065579	65.58290107141217												6.800000000000011	8.23333333333334	8.400000000000006	7.733333333333341	8.500000000000005												Florida	New South Wales	Aargau	North Carolina	Aargau												United States	Australia	Switzerland	United States	Switzerland											
Kumasi, Ghana	307.68457124552253	200.0044337430824	7.5583333333333425	0.3677068578818355	4	159.34563354611709	309.15390739889	128.91394508258284	633.3247989545004													8.03333333333334	7.20000000000001	7.800000000000008	7.20000000000001													New South Wales	Aargau	Aargau	Aargau													Australia	Switzerland	Switzerland	Switzerland												
Ilorin, Nigeria	305.00310967707117	130.88077559733497	8.346666666666673	0.13432961119739875	5	443.3455431493739	476.6868994985492	162.99986194033602	258.1005965070813	183.88264729001557												8.33333333333334	8.433333333333339	8.533333333333339	8.13333333333334	8.300000000000006												Aargau	Aargau	Aargau	Saxony	Aargau												Switzerland	Switzerland	Switzerland	Germany	Switzerland											
Vereeniging, South Africa	302.31646514502046	112.57991462330553	7.508333333333342	0.633936116655296	4	404.93648560028174	424.38601765516836	193.31849494111523	186.62486238351644													8.366666666666672	6.866666666666678	7.866666666666674	6.933333333333344													Aargau	Aargau	Aargau	Aargau													Switzerland	Switzerland	Switzerland	Switzerland												
Abeokuta, Nigeria	301.5788229026111	82.18296742017463	8.100000000000007	0.033333333333333215	2	383.7617903227857	219.39585548243645															8.13333333333334	8.066666666666674															Västerbotten	Aargau															Sweden	Switzerland														
Bida, Nigeria	300.64882729788957	66.03551702063828	8.400000000000006	0.15456030825826117	4	399.1958382654565	322.4875355425049	242.45030833217132	238.46162705142578													8.200000000000006	8.400000000000006	8.633333333333338	8.366666666666672													Aargau	California	California	Aargau													Switzerland	United States	United States	Switzerland												
Shashemenē, Ethiopia	297.92630691299394	115.82711736541128	6.946666666666677	0.9921021452787308	5	328.66257678813713	143.73153665950286	284.3594540136809	494.4757495772786	238.40221752637026												6.000000000000014	8.000000000000007	7.9000000000000075	7.266666666666676	5.566666666666682												Florida	New South Wales	Lombardy	Île-de-France	Michigan												United States	Australia	Italy	France	United States											
Harare, Zimbabwe	297.2342809040752	128.31244333085226	7.275000000000009	1.8604621588316224	8	262.81830765894586	213.6978268725492	527.2229442584323	239.82274065964177	123.22188738203488	295.66660868074246	235.7260550626582	479.69787665759713									6.033333333333347	2.833333333333359	7.366666666666676	8.566666666666672	8.266666666666673	8.33333333333334	8.633333333333338	8.166666666666673									Île-de-France	Michigan	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau									France	United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland								
Jīma, Ethiopia	295.3809211983632	46.91519366945272	7.9111111111111185	0.41662962798339126	3	231.71486389328177	343.38577584498853	311.0421238568193														8.100000000000007	8.300000000000006	7.333333333333343														Aargau	Aargau	Aargau														Switzerland	Switzerland	Switzerland													
San-Pédro, Côte D’Ivoire	294.577971937253	207.03319302043622	7.383333333333343	1.1109305408830283	4	651.1253829010797	171.63695609220147	146.75503480180646	208.7945139539244													5.466666666666683	7.866666666666674	8.066666666666674	8.13333333333334													Aargau	Aargau	Aargau	Aargau													Switzerland	Switzerland	Switzerland	Switzerland												
Ogbomoso, Nigeria	293.3322455563368	156.60694368526998	8.088888888888896	0.32584173996922505	6	136.25456609205344	336.2383386247165	541.0974243905199	400.56034916788866	76.07852488880422	269.7642701740379											7.933333333333341	8.03333333333334	8.300000000000006	7.833333333333341	7.733333333333341	8.700000000000005											California	California	Aargau	Aargau	Saxony	Aargau											United States	United States	Switzerland	Switzerland	Germany	Switzerland										
Giyon, Ethiopia	291.6151826675686	204.78282262280342	7.941666666666674	0.7096066985779257	4	207.15476543748355	240.2845256102627	86.78740635532428	632.2340332672039													6.733333333333345	8.166666666666673	8.533333333333339	8.33333333333334													Michigan	New South Wales	California	Aargau													United States	Australia	United States	Switzerland												
