citystring	mean_dist	std_dist	mean_time	std_time	num_guesses	dists0	dists1	dists2	dists3	dists4	dists5	dists6	dists7	dists8	dists9	dists10	dists11	dists12	dists13	dists14	dists15	times0	times1	times2	times3	times4	times5	times6	times7	times8	times9	times10	times11	times12	times13	times14	times15	region0	region1	region2	region3	region4	region5	region6	region7	region8	region9	region10	region11	region12	region13	region14	region15	country0	country1	country2	country3	country4	country5	country6	country7	country8	country9	country10	country11	country12	country13	country14	country15
Saint-Denis, Reunion	4806.918676289081	3652.8282678284436	5.670370370370386	1.9488803017956224	9	5800.53442467411	5698.159389747995	5803.416956004259	6841.235607148975	1.6357253422046492	19.946980129884302	9508.518462263159	9541.206927361023	47.61361393012364								3.6000000000000227	4.066666666666688	5.166666666666684	2.3000000000000274	5.533333333333349	8.100000000000007	7.766666666666675	6.800000000000011	7.700000000000008								California	California	California	Texas	Aargau	Aargau	California	California	Aargau								United States	United States	United States	United States	Switzerland	Switzerland	United States	United States	Switzerland							
Beni, Congo (Kinshasa)	2979.183939580228	1712.9036732837083	6.450000000000013	1.149999999999996	2	4692.087612863937	1266.28026629652															5.300000000000017	7.6000000000000085															Florida	Florida															United States	United States														
Nouakchott, Mauritania	2906.987648342739	3275.0601520364226	7.20000000000001	0.7740226812639969	5	5393.722118586835	84.93238284006664	880.4158064237223	51.475810019913965	8124.392123843158												6.300000000000013	7.933333333333341	8.100000000000007	7.366666666666676	6.300000000000013												California	California	Aargau	Ontario	Saxony												United States	United States	Switzerland	Canada	Germany											
Gaborone, Botswana	2584.333171030706	1947.1006017180764	5.355555555555572	1.9486620924668434	3	4937.722091245606	2645.771002915373	169.50641893113868														2.6000000000000263	6.700000000000012	6.766666666666678														Thuringia	Aargau	Aargau														Germany	Switzerland	Switzerland													
Blantyre, Malawi	2448.02974186845	2334.287112562112	5.438888888888905	1.925599153189834	6	5801.2166973070725	374.31245052520956	5591.238162201602	899.2481969169517	1619.8045919705837	402.35835228928266											2.43333333333336	3.2333333333333574	7.20000000000001	7.500000000000009	6.26666666666668	6.000000000000014											Unknown	Unknown	Unknown	Aargau	Aargau	Aargau											Unknown	Unknown	Unknown	Switzerland	Switzerland	Switzerland										
Kitwe, Zambia	2345.8972636572894	2040.2741503932455	6.342857142857156	2.280400569498609	7	5461.138055550355	4453.466276725928	2018.742069811093	185.51160126991155	379.0861770893424	221.76149588959336	3701.575169264802										1.7666666666666944	6.033333333333347	6.36666666666668	8.533333333333339	8.500000000000005	8.300000000000006	4.900000000000018										Unknown	Unknown	Unknown	California	Aargau	Aargau	Florida										Unknown	Unknown	Unknown	United States	Switzerland	Switzerland	United States									
Mzuzu, Malawi	2213.0885463611016	1271.504918510957	5.7000000000000135	2.7301811091736843	4	191.14061553415982	3196.19379355949	3393.0144712335045	2072.0053051172526													7.733333333333341	6.2000000000000135	1.1000000000000256	7.766666666666675													New South Wales	Florida	Florida	Aargau													Australia	United States	United States	Switzerland												
Praia, Cabo Verde	1834.20386247095	1744.9572394184584	7.636666666666676	0.6238678635024474	10	3730.913407448318	3722.8808941268103	3689.3219826872705	145.94097572227025	3935.0318071438987	165.02432147669282	2670.751385906909	161.10917276165216	91.65700827512595	29.407669160556555							7.233333333333343	8.500000000000005	7.833333333333341	7.700000000000008	7.766666666666675	6.400000000000013	6.766666666666678	8.100000000000007	7.800000000000008	8.266666666666673							California	California	California	New South Wales	California	Aargau	Aargau	Aargau	Aargau	Aargau							United States	United States	United States	Australia	United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland						
Kamina, Congo (Kinshasa)	1820.5400104299683	0	6.033333333333347	0	1	1820.5400104299683																6.033333333333347																Unknown																Unknown															
N’Zérékoré, Guinea	1695.4603244548653	1611.0807112195093	6.683333333333345	1.0874281585465735	8	2344.918009518873	805.3025916047096	872.7127940522806	877.8193984954434	5532.208274539895	367.2434901724374	2254.4890690621087	508.98896819317446									7.800000000000008	6.733333333333345	7.6000000000000085	7.10000000000001	4.633333333333352	5.166666666666684	7.466666666666676	6.966666666666677									California	Aargau	Aargau	Aargau	England	England	Aargau	Aargau									United States	Switzerland	Switzerland	Switzerland	United Kingdom	United Kingdom	Switzerland	Switzerland								
Libreville, Gabon	1673.1960744243995	1225.1565783477727	5.111111111111128	2.674825481788419	6	170.67780711828397	2505.562801474714	238.9899438483547	3057.6844993069076	1078.459275475138	2987.8021193229984											8.666666666666671	2.066666666666695	1.0333333333333588	6.36666666666668	6.000000000000014	6.533333333333346											New South Wales	Île-de-France	Michigan	Aargau	Aargau	Aargau											Australia	France	United States	Switzerland	Switzerland	Switzerland										
Bissau, Guinea-Bissau	1621.807670140055	1337.4968697340091	7.2600000000000104	0.40188444994937284	5	107.64863290072097	3059.348443562889	38.144841978242276	1860.7487100642634	3043.1477221941595												6.566666666666679	7.500000000000009	7.10000000000001	7.733333333333341	7.400000000000009												England	California	Aargau	Aargau	Aargau												United Kingdom	United States	Switzerland	Switzerland	Switzerland											
Dodoma, Tanzania	1613.862768136085	1706.528860080117	7.1733333333333436	0.8026068637743968	5	4965.312672724888	661.7592541821967	328.49187141040903	783.1624488400194	1330.5875935229117												6.766666666666678	7.833333333333341	6.533333333333346	6.333333333333346	8.400000000000006												Thuringia	Mazovia	New York	Aargau	Aargau												Germany	Poland	United States	Switzerland	Switzerland											
Victoria, Seychelles	1612.4279192353467	170.52972491470135	7.2888888888888985	0.5599823630379603	6	1846.1693297041363	1757.2618794771188	1459.585405268252	1423.9571396842634	1733.9648146521224	1453.6289466261858											7.10000000000001	6.833333333333345	7.066666666666677	7.633333333333342	8.366666666666672	6.733333333333345											New South Wales	California	California	Aargau	California	California											Australia	United States	United States	Switzerland	United States	United States										
Guéckédou, Guinea	1509.2112548259968	1152.3214244570402	5.758333333333349	1.6583752088515173	4	2399.6328739293513	2892.3039490555047	269.6218707490117	475.28632557011963													3.2666666666666906	6.566666666666679	5.43333333333335	7.766666666666675													Massachusetts	New York	Aargau	Aargau													United States	United States	Switzerland	Switzerland												
Bo, Sierra Leone	1472.9331736381644	1942.2650594664137	6.485714285714299	0.9614567556424548	7	63.40457687471759	6012.900846264112	1523.6656673428342	1021.1945586489921	1423.245133912348	200.33153888512427	65.78989353902207										7.700000000000008	6.333333333333346	7.000000000000011	4.533333333333353	6.6666666666666785	7.233333333333343	5.933333333333348										New South Wales	North Carolina	Aargau	Aargau	Aargau	Saxony	Aargau										Australia	United States	Switzerland	Switzerland	Switzerland	Germany	Switzerland									
Mwanza, Tanzania	1469.5946444546764	1134.1421174886698	7.658333333333341	0.9810354507129438	4	3303.770090330299	1521.2247496043226	519.0482933038522	534.3354445802323													8.533333333333339	7.633333333333342	6.066666666666681	8.400000000000006													Oregon	Oregon	California	California													United States	United States	United States	United States												
Gitega, Burundi	1415.3429237187831	919.8353163148416	6.652380952380964	1.4999319712464732	7	1782.5611613584344	1761.4721984327084	107.92049753302025	39.134659312968495	1586.311300206562	1858.5330727887442	2771.467576399045										5.900000000000015	7.666666666666675	7.866666666666674	7.800000000000008	6.566666666666679	7.400000000000009	3.3666666666666902										Aargau	Aargau	Aargau	Aargau	Saxony	Florida	Florida										Switzerland	Switzerland	Switzerland	Switzerland	Germany	United States	United States									
Namibe, Angola	1414.4379538977007	1742.661929476266	6.466666666666679	1.3765899897936156	8	477.9097180504142	488.7670780756376	327.58979071662213	292.1608358787904	3896.679018240358	565.8913775786684	4899.052595950405	367.4532166907101									8.03333333333334	7.500000000000009	6.566666666666679	7.933333333333341	4.266666666666687	4.433333333333353	6.000000000000014	7.000000000000011									California	Ontario	Aargau	Aargau	Saxony	Florida	Florida	Aargau									United States	Canada	Switzerland	Switzerland	Germany	United States	United States	Switzerland								
Kisangani, Congo (Kinshasa)	1405.974138933564	0	7.733333333333341	0	1	1405.974138933564																7.733333333333341																Aargau																Switzerland															
Kankan, Guinea	1397.1405122130661	948.7635875724333	7.533333333333342	0.5333333333333314	2	448.3769246406329	2345.9040997854995															8.066666666666674	7.000000000000011															New South Wales	Aargau															Australia	Switzerland														
Moanda, Congo (Kinshasa)	1361.2239272441436	0	8.166666666666673	0	1	1361.2239272441436																8.166666666666673																Aargau																Switzerland															
Zarzis, Tunisia	1345.6089019118867	2137.4220644786105	7.966666666666674	0.20976176963402957	5	214.92623435780672	5619.049051702359	360.13804358858073	311.88662394815367	222.0445559625336												8.300000000000006	7.700000000000008	7.800000000000008	7.966666666666674	8.066666666666674												Aargau	North Carolina	California	California	Saxony												Switzerland	United States	United States	United States	Germany											
Malanje, Angola	1323.975375436171	1130.502170203144	7.483333333333342	0.47929346148494517	4	482.7474243207526	875.3820541346441	3267.2351049728322	670.5369183164548													7.400000000000009	7.933333333333341	6.733333333333345	7.866666666666674													California	Aargau	North Carolina	Aargau													United States	Switzerland	United States	Switzerland												
Huambo, Angola	1318.4092508087335	1280.9539825827385	7.2166666666666766	0.6499999999999977	2	2599.363233391472	37.45526822599498															6.566666666666679	7.866666666666674															North Carolina	Aargau															United States	Switzerland														
Nabeul, Tunisia	1304.9874626065837	2094.681651900182	7.185185185185195	1.3161026556748285	9	79.63923392128525	3382.742595763521	265.3739770575775	6540.276832678075	377.44645280066993	139.32947136633874	351.2228605609084	463.53247521713206	145.32326409374392								6.333333333333346	4.700000000000019	8.433333333333339	5.400000000000016	8.066666666666674	8.166666666666673	8.466666666666672	7.166666666666677	7.933333333333341								Thuringia	North Carolina	Aargau	North Carolina	Aargau	Aargau	Aargau	Saxony	Aargau								Germany	United States	Switzerland	United States	Switzerland	Switzerland	Switzerland	Germany	Switzerland							
Kabwe, Zambia	1279.6835772956695	1808.0303822539051	7.683333333333341	0.28528737947706045	4	495.73922311349355	51.75601176086161	172.5996265421474	4398.639447766175													7.833333333333341	8.066666666666674	7.333333333333343	7.500000000000009													New South Wales	California	Aargau	Saxony													Australia	United States	Switzerland	Germany												
Paarl, South Africa	1276.4642413491529	117.36315028958575	8.483333333333338	0.08333333333333304	2	1393.8273916387386	1159.1010910595671															8.566666666666672	8.400000000000006															Aargau	Aargau															Switzerland	Switzerland														
Goma, Congo (Kinshasa)	1259.7888429386567	113.09487020562807	5.922222222222235	3.1798361631837726	3	1416.8319977998278	1155.0230254985102	1207.5115055176318														7.933333333333341	8.400000000000006	1.43333333333336														California	Aargau	Aargau														United States	Switzerland	Switzerland													
Uyo, Nigeria	1249.5986047661054	1195.0000970488616	6.475000000000012	1.864489057206939	4	659.4684003096493	325.09557028770615	3303.4653552682767	710.3650931987892													8.466666666666672	6.033333333333347	3.633333333333356	7.766666666666675													California	Mississippi	Florida	Florida													United States	United States	United States	United States												
Moroni, Comoros	1240.2848565658792	1617.3791769077898	6.2400000000000135	0.7970501169242021	5	232.07548812217652	48.82308911672649	4260.196833363556	1600.6330822677787	59.69578995915768												7.166666666666677	4.766666666666685	6.333333333333346	6.600000000000012	6.333333333333346												California	Aargau	Aargau	Saxony	Aargau												United States	Switzerland	Switzerland	Germany	Switzerland											
Gabès, Tunisia	1234.9686241345842	1933.025185874111	5.683333333333349	2.4246992940706327	4	4578.721142216131	66.66513221750549	278.473476615625	16.0147454890751													2.2000000000000277	4.633333333333352	8.000000000000007	7.9000000000000075													Texas	Massachusetts	Aargau	Aargau													United States	United States	Switzerland	Switzerland												
Port-Gentil, Gabon	1206.5232413069878	1333.604752670926	7.066666666666677	1.0129714266015126	8	136.5636017193309	195.49917133401254	247.1150479136272	2938.5831586670106	75.54819412267584	2839.1508996131793	218.7139938732383	3001.011863212828									4.866666666666685	8.066666666666674	7.9000000000000075	7.10000000000001	6.100000000000014	7.166666666666677	7.733333333333341	7.6000000000000085									Lombardy	California	California	Aargau	Ontario	Aargau	Aargau	Aargau									Italy	United States	United States	Switzerland	Canada	Switzerland	Switzerland	Switzerland								
Kolwezi, Congo (Kinshasa)	1205.5119580863948	597.0598930052172	7.283333333333343	1.4718028752872065	6	1326.151194786156	2284.310198729082	953.152316083259	276.4784683389563	1066.9285789457813	1326.0509916351332											8.166666666666673	4.100000000000021	7.20000000000001	8.03333333333334	8.400000000000006	7.800000000000008											California	England	Aargau	California	Aargau	Aargau											United States	United Kingdom	Switzerland	United States	Switzerland	Switzerland										
Boké, Guinea	1133.64833345077	2031.6736206064086	6.672222222222234	1.0344826344543667	6	185.60067678224289	364.483836536645	87.87814473234803	285.2639385513009	5672.589977166981	206.0734269351015											7.800000000000008	7.633333333333342	6.966666666666677	7.066666666666677	5.033333333333351	5.533333333333349											New South Wales	Aargau	Aargau	New York	Florida	Florida											Australia	Switzerland	Switzerland	United States	United States	United States										
Butembo, Congo (Kinshasa)	1128.7964594658724	303.9654148748658	6.783333333333345	1.8901058171435734	4	1494.1392063311348	1359.4709842861346	779.4285956384512	882.1470516077698													3.8333333333333552	6.433333333333346	8.33333333333334	8.533333333333339													California	California	Aargau	Aargau													United States	United States	Switzerland	Switzerland												
Benoni, South Africa	1107.8642115589419	1292.5828648605166	7.033333333333343	1.2564893282868559	9	455.73669672971647	1228.9796656223357	649.9829912110694	843.7697708088743	493.6122810239056	4696.629286800793	558.822854086142	331.55932748552124	711.6850302621195								4.233333333333354	7.700000000000008	5.933333333333348	8.200000000000006	7.800000000000008	6.833333333333345	8.433333333333339	6.466666666666679	7.700000000000008								Unknown	Unknown	Unknown	New York	North Carolina	Aargau	Aargau	Aargau	Saxony								Unknown	Unknown	Unknown	United States	United States	Switzerland	Switzerland	Switzerland	Germany							
Dar es Salaam, Tanzania	1092.0536013569388	2030.350163209209	7.105555555555566	1.0391265325345496	6	569.6385244619005	5614.760669272887	97.04157112016053	66.36310188495519	54.005280027278964	150.51246137445003											7.933333333333341	4.9666666666666845	7.733333333333341	6.6666666666666785	7.700000000000008	7.633333333333342											Aargau	North Holland	North Holland	Aargau	New York	Aargau											Switzerland	Netherlands	Netherlands	Switzerland	United States	Switzerland										
Kisumu, Kenya	1089.3797608464272	706.5514739058499	7.577777777777786	0.4424957278164401	3	277.7300100822716	990.4859130953558	1999.923359361654														8.000000000000007	7.766666666666675	6.966666666666677														California	Aargau	Pennsylvania														United States	Switzerland	United States													
Wamba, Congo (Kinshasa)	1087.7080891788241	259.1076727054939	8.18333333333334	0.08333333333333304	2	1346.8157618843181	828.6004164733304															8.100000000000007	8.266666666666673															New South Wales	North Carolina															Australia	United States														
Oujda-Angad, Morocco	1066.8337318871017	0	7.9000000000000075	0	1	1066.8337318871017																7.9000000000000075																Aargau																Switzerland															
Ed Damazin, Sudan	1052.0234010221368	551.9185948428537	6.90000000000001	1.5186494975129317	6	291.8122728161273	1623.8598991279066	1027.110563859105	805.0292709509787	1896.6601507818916	667.6682485968122											8.633333333333338	7.10000000000001	7.9000000000000075	8.066666666666674	4.9666666666666845	4.733333333333352											California	Mazovia	Aargau	Aargau	England	England											United States	Poland	Switzerland	Switzerland	United Kingdom	United Kingdom										
Isiro, Congo (Kinshasa)	1041.3304404223466	444.6827721687973	7.233333333333343	1.1721639194106959	7	950.0113963067729	1942.2100795404692	1393.198332693778	1003.4011890526066	646.7101179713902	582.8989436083145	770.883023783094										6.433333333333346	5.633333333333349	8.100000000000007	8.566666666666672	7.966666666666674	5.700000000000015	8.23333333333334										Île-de-France	Michigan	New South Wales	Västerbotten	Pennsylvania	North Carolina	Aargau										France	United States	Australia	Sweden	United States	United States	Switzerland									
Mwene-Ditu, Congo (Kinshasa)	1038.6376762932193	240.95812921849836	7.21111111111112	1.73041064133757	3	894.7714724275116	843.048598596662	1378.092957855484														8.33333333333334	8.533333333333339	4.766666666666685														Aargau	Aargau	Saxony														Switzerland	Switzerland	Germany													
Jawhar, Somalia	1038.3270356912406	1216.0960474741507	7.111111111111121	0.6522515609528498	3	237.5608258074427	2756.8203419648153	120.59993930146337														8.03333333333334	6.6666666666666785	6.633333333333345														California	Aargau	Aargau														United States	Switzerland	Switzerland													
Kipushi, Congo (Kinshasa)	1034.1392123252615	190.23433973396007	7.576190476190486	0.5048068263928166	7	1409.5207182073905	839.7321787030171	919.1546907910224	1184.7684777759855	1009.6991509726746	838.9436001778852	1037.1556696488553										8.266666666666673	7.20000000000001	7.30000000000001	6.866666666666678	8.266666666666673	7.333333333333343	7.800000000000008										New South Wales	Aargau	Aargau	Aargau	Aargau	Saxony	Aargau										Australia	Switzerland	Switzerland	Switzerland	Switzerland	Germany	Switzerland									
N’Djamena, Chad	1018.5542230358099	708.201785081814	6.659259259259271	1.213074634384503	9	462.46526319895605	369.36113025052344	1318.0479622507812	237.7588519444315	2314.2794479899285	1510.1929470647156	860.2626515270832	293.4528241690801	1801.166928926789								4.5000000000000195	4.900000000000018	6.26666666666668	7.733333333333341	7.033333333333344	6.866666666666678	6.500000000000012	8.000000000000007	8.13333333333334								California	California	California	California	Aargau	North Carolina	Aargau	New South Wales	Aargau								United States	United States	United States	United States	Switzerland	United States	Switzerland	Australia	Switzerland							
Likasi, Congo (Kinshasa)	1013.0581765474371	65.87763664494793	5.100000000000017	3.2333333333333223	2	947.1805399024892	1078.935813192385															8.33333333333334	1.8666666666666947															Aargau	England															Switzerland	United Kingdom														
Sarh, Chad	1007.5229654072515	864.0650851882596	6.913333333333344	1.0792178237552894	5	405.11415517732956	2371.7019957157345	491.35495540659434	106.07819395684889	1663.3655267797508												5.600000000000016	5.833333333333348	8.533333333333339	7.233333333333343	7.366666666666676												Oregon	Oregon	California	Aargau	Aargau												United States	United States	United States	Switzerland	Switzerland											
Lilongwe, Malawi	1002.3266698716201	503.7300549484314	7.429166666666676	0.5383713866839488	8	144.16195629933918	124.11933681124431	1187.5254651621294	1364.5100861796939	1317.5825584241104	1321.8699937752588	1250.0647368717334	1308.7792254494505									8.366666666666672	7.966666666666674	7.633333333333342	7.700000000000008	7.1333333333333435	7.000000000000011	6.900000000000011	6.733333333333345									California	New South Wales	Aargau	Aargau	Alberta	Aargau	Aargau	Aargau									United States	Australia	Switzerland	Switzerland	Canada	Switzerland	Switzerland	Switzerland								
Lubumbashi, Congo (Kinshasa)	998.5792873223837	451.3483379571862	7.750000000000009	0.3890872509976237	4	1703.1232900851355	806.6003608454342	468.19672186033057	1016.3967764986347													7.466666666666676	7.4333333333333425	8.400000000000006	7.700000000000008													North Carolina	Aargau	Aargau	Alberta													United States	Switzerland	Switzerland	Canada												
Matola, Mozambique	996.335526483391	87.38565138956528	7.9000000000000075	0.06666666666666643	2	1083.7211778729563	908.9498750938258															7.966666666666674	7.833333333333341															Alberta	Aargau															Canada	Switzerland														
Bujumbura, Burundi	995.6710694504047	1510.4575484542365	6.719047619047631	1.288207459243221	14	100.80401056547072	5154.244264504872	21.59058210976949	13.222220985223856	66.10471339053466	125.09773565751158	184.1136209488382	2564.693753691465	312.73555136800945	161.18090918901166	94.22744796278145	152.8422605419506	2573.0575407651686	2415.4803606250584			6.133333333333347	2.6000000000000263	8.23333333333334	7.566666666666675	6.933333333333344	6.36666666666668	5.966666666666681	7.20000000000001	7.233333333333343	7.166666666666677	6.700000000000012	7.233333333333343	7.800000000000008	6.933333333333344			California	Michigan	California	California	California	California	Aargau	North Carolina	Aargau	Aargau	Saxony	Aargau	Saxony	Aargau			United States	United States	United States	United States	United States	United States	Switzerland	United States	Switzerland	Switzerland	Germany	Switzerland	Germany	Switzerland		
Maiduguri, Nigeria	995.0638904301226	147.88574461047355	7.466666666666676	0.5390320542932057	4	1028.8901515452437	1127.8456686843533	1077.3292487525873	746.1904927383057													7.466666666666676	7.166666666666677	6.900000000000011	8.33333333333334													North Carolina	England	England	Aargau													United States	United Kingdom	United Kingdom	Switzerland												
Tobruk, Libya	982.5965284816384	225.07665592348317	7.17500000000001	1.023440548129469	4	809.3825701541512	888.6003938494116	863.121509970447	1369.2816399525436													7.30000000000001	7.933333333333341	8.000000000000007	5.466666666666683													California	California	Aargau	Saxony													United States	United States	Switzerland	Germany												
Nampula, Mozambique	982.5678585941607	120.94094701413064	8.200000000000006	0.14907119849998546	5	1195.3051781071927	925.9468442715905	1011.165769361371	948.4900164745865	831.9314847560624												8.03333333333334	8.066666666666674	8.300000000000006	8.433333333333339	8.166666666666673												California	California	Aargau	Aargau	Aargau												United States	United States	Switzerland	Switzerland	Switzerland											
Gemena, Congo (Kinshasa)	974.4300267549319	86.92372288478377	7.533333333333342	0.9857315388414128	4	912.8045546749087	1051.4808532987945	865.7979882976827	1067.6367107483416													5.866666666666681	7.766666666666675	8.366666666666672	8.13333333333334													Île-de-France	Alberta	Aargau	Aargau													France	Canada	Switzerland	Switzerland												
Gonder, Ethiopia	956.0877625555167	0	8.13333333333334	0	1	956.0877625555167																8.13333333333334																Aargau																Switzerland															
Katsina, Nigeria	948.5214553611901	825.0089297010102	5.477777777777793	2.2468633829693254	6	2788.8218978218492	511.07329754325576	625.3062630913304	649.4694625897382	618.2917537477879	498.1660573731792											1.733333333333361	6.966666666666677	3.933333333333355	4.933333333333351	6.6666666666666785	8.633333333333338											Thuringia	Île-de-France	Michigan	Florida	Aargau	Aargau											Germany	France	United States	United States	Switzerland	Switzerland										
Brikama, Gambia, The	941.1552871871016	1363.6816051552016	7.556410256410264	0.7905839684542388	13	91.46700353825327	3795.5755611417617	12.92292037353662	763.888328738822	77.61884430360239	80.33708337871877	3179.5138567502195	3218.4344904607615	214.41038411168014	148.24280651803753	240.9771085693784	227.1781375268886	184.452208020663				8.23333333333334	8.03333333333334	7.800000000000008	7.466666666666676	7.933333333333341	8.100000000000007	5.900000000000015	5.633333333333349	7.533333333333342	7.833333333333341	7.933333333333341	7.833333333333341	8.000000000000007				California	California	California	Pennsylvania	Västerbotten	California	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau				United States	United States	United States	United States	Sweden	United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland			
Bukavu, Congo (Kinshasa)	938.4471682983531	312.56133930743977	8.226666666666672	0.12183777921664668	5	1337.0112235286133	973.8675913528541	432.03733701771085	788.5262790949736	1160.7934104976134												8.33333333333334	8.200000000000006	8.300000000000006	8.000000000000007	8.300000000000006												New South Wales	Aargau	Aargau	Aargau	Aargau												Australia	Switzerland	Switzerland	Switzerland	Switzerland											
Chimoio, Mozambique	916.124491670814	939.7224996262829	6.147619047619061	1.3786187178335365	7	224.35461751536837	3073.3855084149	1184.8472386505996	387.20908281639504	493.8261570695619	850.4956038188261	198.75323341004753										5.700000000000015	5.966666666666681	4.933333333333351	3.933333333333355	6.866666666666678	8.366666666666672	7.266666666666676										Unknown	Unknown	Unknown	California	California	Aargau	Aargau										Unknown	Unknown	Unknown	United States	United States	Switzerland	Switzerland									
Inhambane, Mozambique	915.3852054116288	890.5581483238493	7.555555555555564	0.6317719544813089	6	215.23685094722333	178.82369447014722	635.8686305588319	2794.1946611050466	605.4441725011791	1062.7432228873447											8.100000000000007	7.500000000000009	6.966666666666677	6.633333333333345	7.633333333333342	8.500000000000005											California	California	California	California	Aargau	Aargau											United States	United States	United States	United States	Switzerland	Switzerland										
El Geneina, Sudan	911.4954219215344	190.51899291342127	6.950000000000012	2.3415925255166656	4	618.3877376634117	880.5106266783406	1019.6909100483788	1127.3924132960067													8.500000000000005	2.9000000000000252	8.166666666666673	8.23333333333334													California	Massachusetts	Aargau	Aargau													United States	United States	Switzerland	Switzerland												
Boma, Congo (Kinshasa)	905.4216346635633	578.5130357214168	8.15833333333334	0.4645039169790577	4	1756.4751781752973	1101.120576205122	263.14682639399103	500.94395787984274													7.4333333333333425	8.13333333333334	8.700000000000005	8.366666666666672													California	California	California	Aargau													United States	United States	United States	Switzerland												
Kigali, Rwanda	901.395709956046	1269.1039005593896	6.829166666666678	1.4304658817633065	8	67.75621180623622	954.7396213203103	3896.253447548246	60.45027891879416	108.7978761228079	137.5809650876977	192.01159745621362	1793.5756813880614									3.8666666666666885	6.000000000000014	6.133333333333347	8.266666666666673	7.966666666666674	8.13333333333334	7.9000000000000075	6.36666666666668									Unknown	Unknown	Unknown	New South Wales	Aargau	Aargau	Aargau	Saxony									Unknown	Unknown	Unknown	Australia	Switzerland	Switzerland	Switzerland	Germany								
Dolisie, Congo (Brazzaville)	879.5599226224048	760.019654425313	7.466666666666675	1.121011448053345	8	279.21714160463586	223.1713022430876	974.2315318681709	2526.3504768422235	515.7849992110738	1543.9258758054666	823.6631942828335	150.13485912174696									8.23333333333334	7.366666666666676	7.633333333333342	4.600000000000019	8.200000000000006	8.066666666666674	8.000000000000007	7.633333333333342									California	New South Wales	Aargau	North Holland	North Holland	Aargau	Aargau	Aargau									United States	Australia	Switzerland	Netherlands	Netherlands	Switzerland	Switzerland	Switzerland								
Conakry, Guinea	878.5851904513718	710.9418802473317	7.191666666666677	0.5823205493731265	4	85.27929552738604	1454.2269479236545	1707.6140774585956	267.2204408958509													7.866666666666674	6.700000000000012	7.666666666666675	6.533333333333346													New South Wales	Texas	Aargau	Aargau													Australia	United States	Switzerland	Switzerland												
Pemba, Mozambique	878.3734571238317	180.71445214301906	8.116666666666674	0.2166666666666659	2	697.6590049808127	1059.0879092668508															8.33333333333334	7.9000000000000075															Aargau	Aargau															Switzerland	Switzerland														
Maroua, Cameroon	876.8438853340817	257.5593675579071	7.887878787878794	0.4149413314433062	11	864.0869632105208	778.9879529982138	1367.8489060682589	1032.0216663416577	871.740411856491	804.6194397557412	214.24694017987568	925.6635755996804	929.3180142498715	922.2225922328877	934.5262761817011						8.200000000000006	7.366666666666676	7.533333333333342	8.566666666666672	8.33333333333334	8.000000000000007	7.966666666666674	7.766666666666675	8.066666666666674	7.9000000000000075	7.066666666666677						New South Wales	California	North Carolina	Aargau	Aargau	Aargau	Aargau	Aargau	Saxony	Aargau	Aargau						Australia	United States	United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Germany	Switzerland	Switzerland					
Durban, South Africa	875.3126022058618	0	6.800000000000011	0	1	875.3126022058618																6.800000000000011																Aargau																Switzerland															
Abidjan, Côte D’Ivoire	873.2241915459655	1476.93043613084	6.800000000000012	1.769573080968646	8	156.0929745814092	1067.3181574297887	4705.796440294211	137.7266301226892	245.54121793908732	310.3819262567337	206.38214139193713	156.55404435186858									6.600000000000012	3.500000000000023	4.233333333333354	8.13333333333334	7.800000000000008	8.066666666666674	7.800000000000008	8.266666666666673									Île-de-France	Oregon	Oregon	California	North Carolina	Aargau	Aargau	Florida									France	United States	United States	United States	United States	Switzerland	Switzerland	United States								
Kigoma, Tanzania	868.4173887675337	367.2651117314312	6.986666666666677	0.9193234227167006	5	574.0794529903224	325.33136352985645	1344.2739222043333	1071.9620062320503	1026.440198881106												8.200000000000006	7.166666666666677	5.633333333333349	6.300000000000013	7.633333333333342												New South Wales	Aargau	England	England	Aargau												Australia	Switzerland	United Kingdom	United Kingdom	Switzerland											
Garoua, Cameroon	866.9651264449001	605.4796986845405	8.05238095238096	0.4371106949471574	7	2336.0331454823677	651.3438207605984	591.436452581843	511.46178704305646	732.3767532656939	728.3759853114127	517.7279406693291										7.9000000000000075	8.433333333333339	7.166666666666677	7.800000000000008	8.366666666666672	8.500000000000005	8.200000000000006										Thuringia	California	Aargau	Aargau	Aargau	Aargau	Aargau										Germany	United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland									
Kismaayo, Somalia	865.9673216510265	597.6041123425919	7.741666666666675	0.5122797629767877	8	518.7875568054016	436.95429435451877	2027.434515943221	1205.125696177885	502.572915850676	450.43683582993515	1518.600944343404	267.82581390317154									8.366666666666672	8.066666666666674	7.466666666666676	8.066666666666674	8.200000000000006	7.833333333333341	7.000000000000011	6.933333333333344									California	New South Wales	Aargau	North Carolina	Aargau	Aargau	Saxony	Aargau									United States	Australia	Switzerland	United States	Switzerland	Switzerland	Germany	Switzerland								
