citystring	mean_dist	std_dist	mean_time	std_time	num_guesses	dists0	dists1	dists2	dists3	dists4	dists5	dists6	dists7	dists8	dists9	dists10	dists11	dists12	dists13	dists14	dists15	dists16	dists17	dists18	dists19	dists20	dists21	dists22	dists23	dists24	dists25	dists26	dists27	dists28	dists29	dists30	dists31	dists32	dists33	dists34	dists35	dists36	dists37	dists38	times0	times1	times2	times3	times4	times5	times6	times7	times8	times9	times10	times11	times12	times13	times14	times15	times16	times17	times18	times19	times20	times21	times22	times23	times24	times25	times26	times27	times28	times29	times30	times31	times32	times33	times34	times35	times36	times37	times38	region0	region1	region2	region3	region4	region5	region6	region7	region8	region9	region10	region11	region12	region13	region14	region15	region16	region17	region18	region19	region20	region21	region22	region23	region24	region25	region26	region27	region28	region29	region30	region31	region32	region33	region34	region35	region36	region37	region38	country0	country1	country2	country3	country4	country5	country6	country7	country8	country9	country10	country11	country12	country13	country14	country15	country16	country17	country18	country19	country20	country21	country22	country23	country24	country25	country26	country27	country28	country29	country30	country31	country32	country33	country34	country35	country36	country37	country38
Ad Dammām, Saudi Arabia	744.928389594053	421.0593845717295	6.951666666666678	1.419251563324835	20	546.674386616152	1212.806866654819	873.5799661011525	675.4068590034254	1152.0731157682856	514.7767431040525	1113.3319758387975	970.4037489970076	1130.226228652457	1192.7581128505706	402.97350135515507	144.16781983479473	1161.418933692138	692.4822649372601	63.994081276777344	72.45163684371798	481.59893099049617	1201.5793098017193	79.92162409169967	1215.941685470585																				7.666666666666675	6.400000000000013	8.13333333333334	7.500000000000009	7.1333333333333435	6.2000000000000135	1.4000000000000266	7.233333333333343	8.03333333333334	7.9000000000000075	7.933333333333341	6.800000000000011	6.800000000000011	5.866666666666681	7.20000000000001	7.833333333333341	6.933333333333344	6.700000000000012	7.833333333333341	7.533333333333342																				California	Ontario	California	Ontario	England	Central and Western	Massachusetts	Aargau	Alberta	Aargau	Mazovia	Aargau	Aargau	England	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																				United States	Canada	United States	Canada	United Kingdom	Hong Kong	United States	Switzerland	Canada	Switzerland	Poland	Switzerland	Switzerland	United Kingdom	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																			
Kursk, Kurskaya Oblast’, Russia	739.348133481821	742.1536762565688	6.724637681159432	1.7261897777817692	23	1393.3353285053327	1022.0230888613354	198.630549887312	576.1387046692781	1478.999557740472	122.95249031357052	871.0945377908187	772.4493875750852	339.95076402350753	1307.3521819461976	670.6609101630172	453.9296619452132	3568.7380363094194	717.4640258498837	238.48262600003497	677.6610125049024	1303.0813597860806	129.00155184063027	308.01397708237903	240.62216609593779	441.6257853556308	106.110087520182	66.68927831566162																	5.933333333333348	8.23333333333334	6.466666666666679	4.9666666666666845	6.900000000000011	8.366666666666672	3.2666666666666906	4.266666666666687	2.7666666666666924	7.700000000000008	7.4333333333333425	7.6000000000000085	3.500000000000023	7.833333333333341	6.766666666666678	8.266666666666673	8.433333333333339	6.966666666666677	7.166666666666677	8.300000000000006	7.400000000000009	7.800000000000008	8.33333333333334																	England	Mazovia	Stockholm	Stockholm	Harjumaa	Aargau	New Jersey	Alberta	Alberta	Alberta	Aargau	Aargau	Virginia	Aargau	California	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																	United Kingdom	Poland	Sweden	Sweden	Estonia	Switzerland	United States	Canada	Canada	Canada	Switzerland	Switzerland	United States	Switzerland	United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																
Lahore, Pakistan	734.6458657237708	292.19008507500223	6.639393939393952	1.6283360895617682	11	1016.5145431293854	682.1757342581672	946.5473613496997	403.9209987370711	1017.677954825065	987.1819353075526	956.8450846907901	371.7730374527638	294.58295627091417	400.3499733097764	1003.534943630295																													6.6666666666666785	7.933333333333341	7.733333333333341	4.633333333333352	2.3333333333333606	7.9000000000000075	7.566666666666675	6.533333333333346	7.166666666666677	7.000000000000011	7.566666666666675																													Thuringia	New York	Aargau	England	England	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																													Germany	United States	Switzerland	United Kingdom	United Kingdom	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																												
Bengalūru, Karnātaka, India	734.4798870419179	548.0533048407789	7.433333333333343	0.7728342171984383	22	553.3201542338085	1459.1691328445813	206.11774787127698	1779.6723204163975	1690.612730321709	260.27043632390075	985.2690684308873	992.8273726406122	1765.8539026153546	1193.4061999220396	251.84205558676567	1192.8776939952154	311.77930930169435	588.5200288056715	949.6854068256782	389.61889784122434	274.01268830938966	249.3719189989323	282.92260525420915	226.56231239982552	277.87030407446315	276.9752279085607																		8.066666666666674	6.16666666666668	7.6000000000000085	7.4333333333333425	6.2000000000000135	7.466666666666676	8.266666666666673	6.933333333333344	7.933333333333341	6.533333333333346	6.2000000000000135	8.000000000000007	8.266666666666673	7.933333333333341	6.066666666666681	6.533333333333346	7.866666666666674	8.266666666666673	8.000000000000007	8.200000000000006	7.966666666666674	7.633333333333342																		California	Pennsylvania	Pennsylvania	North Carolina	Pennsylvania	Pennsylvania	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Arizona	California	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																		United States	United States	United States	United States	United States	United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	United States	United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																	
Jixi, Heilongjiang, China	734.4616020935755	970.7022636723701	7.511666666666675	0.5750627985031026	20	2058.5910195748793	512.9051891804844	2072.588964008743	2836.123374365601	70.29801439060864	72.31106544389102	209.57319201303832	308.4719712040833	332.7284003948013	273.2800871379039	298.10070126730557	136.47749362898372	169.82723105973662	3022.746531641174	1759.7030411245094	105.92469509795957	22.35094594245794	231.75223885045537	146.68264612438008	48.795239420515536																				7.6000000000000085	7.366666666666676	7.533333333333342	7.833333333333341	6.866666666666678	6.566666666666679	7.500000000000009	7.833333333333341	6.6666666666666785	7.933333333333341	8.13333333333334	8.000000000000007	8.166666666666673	6.500000000000012	7.800000000000008	6.766666666666678	8.066666666666674	7.233333333333343	8.533333333333339	7.333333333333343																				Aargau	Aargau	Aargau	Virginia	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Colorado	Colorado	Aargau	Aargau	Aargau	Alberta	Aargau																				Switzerland	Switzerland	Switzerland	United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	United States	United States	Switzerland	Switzerland	Switzerland	Canada	Switzerland																			
Xianyang, Shaanxi, China	734.1101052891131	591.576391401276	6.841666666666678	0.9483050181283451	12	1482.056401187998	308.6903316539017	2298.0071975118954	1108.8058593304377	488.920180757764	854.0836260910477	310.3461684400544	324.64324181609106	307.6554336324612	349.73953267980244	469.9781020712833	506.39518829662046																												7.733333333333341	5.866666666666681	4.40000000000002	6.6666666666666785	7.9000000000000075	6.600000000000012	7.533333333333342	6.866666666666678	6.400000000000013	7.033333333333344	7.266666666666676	7.833333333333341																												California	Bavaria	Aargau	Aargau	Aargau	Aargau	California	Aargau	Aargau	Aargau	Aargau	Aargau																												United States	Germany	Switzerland	Switzerland	Switzerland	Switzerland	United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																											
Kocaeli, Turkey	730.9693978499482	1392.6362063089332	7.38500000000001	0.9097298133695122	20	565.8515744841332	282.85273001843706	809.1704009667213	231.20615298551158	72.19868327936274	52.81969142222511	850.8674581089026	801.0573234817997	799.4958694115309	119.4303335307045	872.0809672329647	1041.212061215301	251.12680879199567	185.03259128534904	393.09788996269805	6642.457052157749	251.08838385350975	189.02454284639163	112.03433007458636	97.28311188908964																				4.866666666666685	5.7333333333333485	7.833333333333341	7.633333333333342	7.30000000000001	7.066666666666677	7.1333333333333435	7.633333333333342	7.4333333333333425	7.366666666666676	6.933333333333344	7.9000000000000075	7.20000000000001	7.733333333333341	7.466666666666676	9.8	7.800000000000008	7.466666666666676	7.4333333333333425	7.966666666666674																				Lisbon	Louisiana	California	England	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	England	England	Aargau	Aargau		England	Aargau	Aargau	Aargau	Aargau																				Portugal	United States	United States	United Kingdom	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	United Kingdom	United Kingdom	Switzerland	Switzerland	Singapore	United Kingdom	Switzerland	Switzerland	Switzerland	Switzerland																			
Penza, Penzenskaya Oblast’, Russia	728.8867666635888	817.2396440480247	7.102898550724648	1.1537342456193274	23	381.4069090371596	296.98914895853426	462.33668059375896	324.0195988134351	673.6515826211185	238.08735869907417	407.72842238693886	637.155091898321	871.9523126442516	549.8346869567534	3680.450096288682	755.9164223177766	2874.155898896416	478.1389485984379	342.8015022101483	306.242684235192	197.66766865113584	525.3417785992924	778.9288493079338	750.1216040513508	221.53097928412774	401.2332002174964	608.7042079952079																	5.33333333333335	7.566666666666675	7.166666666666677	6.800000000000011	5.833333333333348	6.333333333333346	5.23333333333335	4.000000000000021	5.966666666666681	7.866666666666674	6.6666666666666785	6.933333333333344	7.933333333333341	7.400000000000009	8.03333333333334	8.466666666666672	7.833333333333341	7.466666666666676	8.200000000000006	8.300000000000006	8.066666666666674	7.500000000000009	8.466666666666672																	Île-de-France	California	California	California	California	California	Stockholm	Andalusia	England	Aargau	New York	Aargau	Aargau	Alberta	Aargau	Alberta	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																	France	United States	United States	United States	United States	United States	Sweden	Spain	United Kingdom	Switzerland	United States	Switzerland	Switzerland	Canada	Switzerland	Canada	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																
Guiyang, Guizhou, China	727.3001863653783	418.0282859899263	6.870000000000012	1.0382089278068118	10	1402.9852116643447	745.6493238153288	857.6224903968046	1304.4365712784686	283.25911534487426	413.4024688974755	233.36872148486918	290.0546421259741	581.0258636945891	1161.1974549510562																														7.400000000000009	6.866666666666678	7.4333333333333425	7.033333333333344	6.233333333333347	7.266666666666676	6.833333333333345	4.200000000000021	8.433333333333339	7.000000000000011																														Aargau	California	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																														Switzerland	United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																													
Dehra Dūn, Uttarakhand, India	717.257796836368	417.9630781252306	7.295833333333343	1.0403575106664018	16	1175.8423601167674	202.56942955420476	1299.5757460066397	390.5729111768715	483.62118700291944	1243.009926928091	508.59484673588753	1237.7306335653195	466.45424639954325	375.7015880603652	1174.1423769106943	371.538586815741	299.5738338309752	147.8751713085188	1073.8158865677417	1025.5060184016093																								6.800000000000011	7.000000000000011	6.733333333333345	7.10000000000001	4.066666666666688	8.000000000000007	8.433333333333339	6.2000000000000135	7.966666666666674	7.933333333333341	7.4333333333333425	7.566666666666675	8.266666666666673	7.966666666666674	7.066666666666677	8.200000000000006																								Aargau	Aargau	Aargau	Aargau	California	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	North Rhine-Westphalia	California																								Switzerland	Switzerland	Switzerland	Switzerland	United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Germany	United States																							
