citystring	mean_dist	std_dist	mean_time	std_time	num_guesses	dists0	dists1	dists2	dists3	dists4	dists5	dists6	dists7	dists8	dists9	dists10	dists11	dists12	dists13	dists14	dists15	dists16	dists17	dists18	dists19	dists20	dists21	dists22	dists23	dists24	dists25	dists26	dists27	dists28	dists29	dists30	dists31	dists32	dists33	dists34	dists35	dists36	dists37	dists38	times0	times1	times2	times3	times4	times5	times6	times7	times8	times9	times10	times11	times12	times13	times14	times15	times16	times17	times18	times19	times20	times21	times22	times23	times24	times25	times26	times27	times28	times29	times30	times31	times32	times33	times34	times35	times36	times37	times38	region0	region1	region2	region3	region4	region5	region6	region7	region8	region9	region10	region11	region12	region13	region14	region15	region16	region17	region18	region19	region20	region21	region22	region23	region24	region25	region26	region27	region28	region29	region30	region31	region32	region33	region34	region35	region36	region37	region38	country0	country1	country2	country3	country4	country5	country6	country7	country8	country9	country10	country11	country12	country13	country14	country15	country16	country17	country18	country19	country20	country21	country22	country23	country24	country25	country26	country27	country28	country29	country30	country31	country32	country33	country34	country35	country36	country37	country38
Ufa, Bashkortostan, Russia	3281.8478557846747	1618.1617174513246	6.658333333333345	1.124567818220746	4	3995.9551624875235	4532.617830626537	4097.886798147914	500.93163187672315																																				5.600000000000016	7.266666666666676	5.566666666666682	8.200000000000006																																				England	Arizona	California	Aargau																																				United Kingdom	United States	United States	Switzerland																																			
Khabarovsk, Khabarovskiy Kray, Russia	3210.6527054773655	2664.1916760115528	7.224444444444455	1.3142222973734572	15	6213.649758224527	5500.638374908881	6331.309165878705	5692.662161567189	6094.673613961917	229.6082380066523	1371.1553716840322	5814.022651848374	3317.3592103617907	5711.135555152906	1797.2568243962432	29.94717078431637	14.016143146312269	17.983206988811776	24.3731352498178																									8.03333333333334	7.6000000000000085	7.366666666666676	8.000000000000007	8.433333333333339	6.400000000000013	2.9000000000000252	7.933333333333341	7.1333333333333435	8.466666666666672	6.400000000000013	6.733333333333345	7.533333333333342	7.500000000000009	7.933333333333341																									Aargau	Aargau	Alberta	Aargau	Aargau	Maryland	Ontario	Aargau	Aargau	Aargau	Ontario	Aargau	Aargau	Aargau	Aargau																									Switzerland	Switzerland	Canada	Switzerland	Switzerland	United States	Canada	Switzerland	Switzerland	Switzerland	Canada	Switzerland	Switzerland	Switzerland	Switzerland																								
Vladivostok, Primorskiy Kray, Russia	3081.794150705467	2929.005146274785	6.094444444444459	1.1049412028376833	12	1404.7768045557596	1209.6424544749734	1286.3000049677014	6057.853359101622	6626.801685326109	6410.279836825259	205.4883129547975	75.55019671099457	216.75126601485124	69.95144744599031	6695.529037183656	6722.605402903892																												4.766666666666685	5.900000000000015	5.600000000000016	7.800000000000008	7.766666666666675	6.733333333333345	6.800000000000011	6.900000000000011	6.133333333333347	5.766666666666682	4.633333333333352	4.3333333333333535																												Aargau	Aargau	Aargau	California	California	Alberta	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																												Switzerland	Switzerland	Switzerland	United States	United States	Canada	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																											
Krasnoyarsk, Krasnoyarskiy Kray, Russia	2835.6003006897604	1085.1839828529648	7.113888888888899	1.7572315312220432	12	543.5442370319411	3180.0950985848817	3229.8725147976375	380.5699027869092	3204.422294620509	3681.709123853708	3504.6715198043908	3151.592360932447	2991.2103313783086	2988.2100191908635	3633.4501737226606	3537.856031572868																												1.733333333333361	8.466666666666672	7.700000000000008	6.300000000000013	8.266666666666673	8.600000000000005	6.466666666666679	7.20000000000001	7.766666666666675	7.366666666666676	7.800000000000008	7.700000000000008																												Karnataka	California	Aargau	Aargau	Aargau	California	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																												India	United States	Switzerland	Switzerland	Switzerland	United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																											
Barnaul, Altayskiy Kray, Russia	2310.9043797513445	938.7520190131966	6.661538461538473	1.462397408416955	13	2479.5134773978352	2820.3801531427803	3744.5658674833603	2733.549931723062	196.0731684335268	2292.695513530911	2547.835931300613	1745.7123894973035	2818.790749038185	2974.207025310034	2878.029585431098	560.8840368037056	2249.5191076750625																											6.700000000000012	4.633333333333352	3.333333333333357	5.23333333333335	6.633333333333345	8.03333333333334	8.066666666666674	7.700000000000008	6.433333333333346	7.4333333333333425	7.700000000000008	6.133333333333347	8.566666666666672																											California	Michigan	Michigan	England	Stockholm	Aargau	Aargau	North Carolina	Aargau	California	Aargau	Aargau	Alberta																											United States	United States	United States	United Kingdom	Sweden	Switzerland	Switzerland	United States	Switzerland	United States	Switzerland	Switzerland	Canada																										
Tomsk, Tomskaya Oblast’, Russia	2266.7742968350135	350.9127702556677	7.985714285714293	0.23493135968655174	7	1948.6623830501253	2863.8809155190625	2260.3354049822956	2548.511908743418	1986.4153691497834	2452.845883720978	1806.768212679432																																	7.800000000000008	7.966666666666674	8.266666666666673	7.533333333333342	8.13333333333334	8.000000000000007	8.200000000000006																																	Bavaria	Aargau	Alberta	Aargau	Aargau	Aargau	Aargau																																	Germany	Switzerland	Canada	Switzerland	Switzerland	Switzerland	Switzerland																																
Kemerovo, Kemerovskaya Oblast’, Russia	2260.797877053076	1089.5950730063053	8.100000000000007	0.37145632041977295	11	3311.094191495678	1831.1054520222883	1194.1149736672737	2981.8376708633914	178.15192060283027	2578.338514808659	3181.526669665792	3343.254320117881	3084.756094848422	571.6287781169493	2612.968061374669																													8.266666666666673	8.100000000000007	8.166666666666673	8.366666666666672	7.000000000000011	8.433333333333339	8.066666666666674	7.966666666666674	8.200000000000006	8.33333333333334	8.200000000000006																													New York	Aargau	Alberta	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Alberta	California																													United States	Switzerland	Canada	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Canada	United States																												
Shihezi, Xinjiang, China	1843.2543514153797	1238.942193535261	6.9285714285714395	1.0083663625331956	14	698.7125010730296	3122.5769328516308	502.7629936268912	3005.7866559108897	3059.2922321056913	3347.058113775178	3520.4774378956795	410.5645198851687	361.47017236904634	256.9551744059747	2984.766545341131	985.0068487394283	1657.1061050427888	1893.0246867927906																										6.2000000000000135	5.400000000000016	7.6000000000000085	8.300000000000006	8.03333333333334	5.633333333333349	7.033333333333344	5.633333333333349	6.633333333333345	7.733333333333341	5.900000000000015	7.800000000000008	6.800000000000011	8.300000000000006																										England	Aargau	California	Aargau	Aargau	England	England	Aargau	Aargau	Aargau	Hesse	Aargau	Aargau	California																										United Kingdom	Switzerland	United States	Switzerland	Switzerland	United Kingdom	United Kingdom	Switzerland	Switzerland	Switzerland	Germany	Switzerland	Switzerland	United States																									
Magnitogorsk, Chelyabinskaya Oblast’, Russia	1776.0107008442053	1749.3646955069842	6.140000000000012	2.5879550056195098	5	762.0186205145783	1428.3234974609975	913.9279615752693	5226.328416876199	549.4550077939826																																			6.866666666666678	7.366666666666676	7.266666666666676	1.0333333333333588	8.166666666666673																																			Pennsylvania	Pennsylvania	Aargau	Ontario	Aargau																																			United States	United States	Switzerland	Canada	Switzerland																																		
Chelyabinsk, Chelyabinskaya Oblast’, Russia	1619.2463040477996	1414.568897972186	6.595833333333346	1.4144529272242747	8	1078.5661539985147	1309.9322528308983	5099.948994215208	2286.3685421981986	1251.4962185779063	479.17276293435765	830.5849317053778	617.9005759219358																																3.966666666666688	6.700000000000012	5.533333333333349	5.300000000000017	7.566666666666675	7.533333333333342	7.966666666666674	8.200000000000006																																Aargau	Aargau	England	England	Aargau	Aargau	Aargau	Alberta																																Switzerland	Switzerland	United Kingdom	United Kingdom	Switzerland	Switzerland	Switzerland	Canada																															
Nizhniy Novgorod, Nizhegorodskaya Oblast’, Russia	1582.5959380217453	1578.5195300592145	6.950000000000012	1.5833333333333277	10	711.2971809569948	804.155088921152	440.91068581547756	632.7142399422061	756.0702064285713	647.3287514798359	2714.2218943149787	2838.999269039665	5597.523925209144	682.7381381094272																														4.9666666666666845	7.10000000000001	6.766666666666678	8.200000000000006	7.6000000000000085	8.03333333333334	7.4333333333333425	7.733333333333341	3.1333333333333577	8.533333333333339																														Stockholm	England	Vienna	Aargau	Aargau	Florida	Aargau	Aargau	Hesse	Aargau																														Sweden	United Kingdom	Austria	Switzerland	Switzerland	United States	Switzerland	Switzerland	Germany	Switzerland																													
Ghulja, Xinjiang, China	1512.248668613398	1395.2192365099456	7.3686274509804015	0.6061202654918454	17	3765.9462379815413	3578.5068532724563	3404.0943885461343	3054.2810125545852	2784.508731853862	3073.2065335238235	2065.7761409485474	123.71096386104023	43.18611099879405	121.45965064033999	777.7001968189703	713.1036329906515	719.2176285710588	676.6514028217631	686.7758146775703	41.020426091569426	79.08164027505555																							7.566666666666675	7.866666666666674	7.466666666666676	7.466666666666676	7.766666666666675	7.866666666666674	7.766666666666675	7.233333333333343	7.866666666666674	6.16666666666668	7.166666666666677	6.333333333333346	7.000000000000011	6.100000000000014	7.866666666666674	8.000000000000007	7.766666666666675																							Aargau	Aargau	Aargau	Aargau	Alberta	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																							Switzerland	Switzerland	Switzerland	Switzerland	Canada	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																						
Tyumen’, Tyumenskaya Oblast’, Russia	1468.688716739198	552.282880043216	7.110526315789484	1.1549563993481264	19	1195.6890634066986	1719.1729134299185	2778.293998398108	2091.6645273651447	584.89998083078	1259.384476502982	836.6097920159277	1790.7107798657464	900.625821685666	1710.8270833724982	1012.5456584513785	1957.6498830107682	1654.8407270427322	1240.4921507888057	1511.286948788526	569.676394613735	1227.0827413039133	1847.6300975905394	2016.0025795808951																					3.46666666666669	7.10000000000001	5.533333333333349	8.066666666666674	7.800000000000008	7.000000000000011	6.36666666666668	6.533333333333346	7.833333333333341	6.000000000000014	6.633333333333345	7.20000000000001	7.700000000000008	8.066666666666674	7.4333333333333425	8.100000000000007	7.866666666666674	8.266666666666673	8.13333333333334																					Michigan	Michigan	New South Wales	California	New York	Pennsylvania	Pennsylvania	North Carolina	Aargau	Aargau	Florida	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																					United States	United States	Australia	United States	United States	United States	United States	United States	Switzerland	Switzerland	United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																				
Yaroslavl’, Yaroslavskaya Oblast’, Russia	1450.0820893805192	1624.245283739679	7.1333333333333435	1.384370427841287	12	390.4965266236776	499.19686041002274	508.5446776173179	162.17048429363075	3797.5405493110948	2306.0110022267704	5750.184749751331	1070.5203988231112	1001.16397143213	747.8877907791793	660.3325934786474	506.9354678193152																												4.933333333333351	3.8333333333333552	7.466666666666676	7.333333333333343	6.36666666666668	8.366666666666672	7.233333333333343	7.20000000000001	7.766666666666675	8.23333333333334	8.466666666666672	8.400000000000006																												Ontario	North Holland	Aargau	Aargau	New York	Alberta	England	England	Aargau	Aargau	Aargau	Aargau																												Canada	Netherlands	Switzerland	Switzerland	United States	Canada	United Kingdom	United Kingdom	Switzerland	Switzerland	Switzerland	Switzerland																											
Irkutsk, Irkutskaya Oblast’, Russia	1421.466636210542	1354.9321177264849	6.758333333333344	0.9645450856347855	16	4380.745923064112	668.168612281829	1086.5221484844303	1863.711202427803	875.8144632371366	802.113096275708	52.69539008322531	87.58573125176933	2317.7663684948798	1150.0543059943727	2210.813133446629	3534.788349226108	3448.14992808216	82.8085636740326	83.13398957224919	98.59497377222849																								8.466666666666672	7.166666666666677	6.333333333333346	4.700000000000019	6.566666666666679	7.30000000000001	7.400000000000009	5.466666666666683	7.10000000000001	6.36666666666668	6.066666666666681	6.633333333333345	7.566666666666675	5.700000000000015	7.000000000000011	8.300000000000006																								California	California	California	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																								United States	United States	United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																							
Tianjin, Tianjin, China	1340.763432673953	1087.8465858910079	6.051111111111125	1.7562530260067901	15	654.8572006248755	1528.5582252171712	3540.219299749173	2794.1998902550254	839.5032290340442	3535.029932140411	32.7030148282809	1496.5808419526636	940.6814820817561	241.78445563020767	28.51672840103265	1442.5078447963767	1224.5016471180675	873.6515112379537	938.1561870422552																									7.333333333333343	6.866666666666678	6.466666666666679	6.800000000000011	7.033333333333344	4.533333333333353	7.333333333333343	1.1000000000000256	6.766666666666678	2.9666666666666917	6.6666666666666785	6.100000000000014	6.600000000000012	6.433333333333346	7.766666666666675																									California	California	Aargau	Aargau	Aargau	Aargau	Aargau	England	Aargau	England	Aargau	England	England	Aargau	Aargau																									United States	United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	United Kingdom	Switzerland	United Kingdom	Switzerland	United Kingdom	United Kingdom	Switzerland	Switzerland																								
Baoshan, Yunnan, China	1337.671082873514	720.4003922790299	7.235087719298255	0.8135169252246429	19	2107.2418773769964	1387.5523366275631	1024.944564707772	375.7365439853338	1129.8044259519302	1174.8838790754808	879.4675827397009	1393.7010633796635	2639.0567788892645	1677.977348398057	2627.9878290409756	1414.0679483113454	1795.7494036757082	464.8161641876503	560.0262069800544	2498.032498901611	1352.3425654911412	420.1085616379679	492.25299523855176																					6.2000000000000135	7.366666666666676	7.033333333333344	6.766666666666678	7.266666666666676	7.500000000000009	7.1333333333333435	6.6666666666666785	5.400000000000016	8.533333333333339	5.533333333333349	7.6000000000000085	8.066666666666674	7.800000000000008	7.366666666666676	7.733333333333341	8.166666666666673	8.000000000000007	7.333333333333343																					Aargau	Aargau	England	California	Aargau	Aargau	Aargau	Aargau	England	England	Aargau		England	Aargau	Aargau	Colorado	Colorado	Aargau	Aargau																					Switzerland	Switzerland	United Kingdom	United States	Switzerland	Switzerland	Switzerland	Switzerland	United Kingdom	United Kingdom	Switzerland	Singapore	United Kingdom	Switzerland	Switzerland	United States	United States	Switzerland	Switzerland																				
Xining, Qinghai, China	1335.2521410071406	517.2363086897071	6.859523809523821	1.034728594997797	14	1207.2482590662796	1919.9288566585367	1932.0684463189289	1925.6252022214767	1605.8775585129692	1587.5555087035987	1377.6114189336747	1101.039333949468	1669.1597185039075	1599.0718019097078	683.7488358496453	1333.7039010056155	518.5351610219368	232.35597144422402																										7.6000000000000085	7.633333333333342	8.533333333333339	7.4333333333333425	6.933333333333344	6.500000000000012	5.866666666666681	7.933333333333341	5.200000000000017	6.766666666666678	7.10000000000001	4.5000000000000195	7.033333333333344	7.000000000000011																										Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	England	California	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																										Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	United Kingdom	United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																									
Ürümqi, Xinjiang, China	1307.3537878026539	821.4406022429255	6.351515151515164	1.186997199146031	11	3324.5757262315956	442.88591085010796	817.8720225903339	439.134182246625	1588.942450056675	1644.1225098037128	2079.74988313694	1426.8661718593576	714.0925774228293	1270.2832422853705	632.3669893456479																													3.666666666666689	6.000000000000014	6.333333333333346	8.066666666666674	7.033333333333344	4.633333333333352	6.600000000000012	6.966666666666677	6.300000000000013	6.866666666666678	7.400000000000009																													Michigan	Michigan	England	California	Aargau	Aargau	Aargau	Aargau	California	Aargau	California																													United States	United States	United Kingdom	United States	Switzerland	Switzerland	Switzerland	Switzerland	United States	Switzerland	United States																												
Krasnodar, Krasnodarskiy Kray, Russia	1288.5002666950477	1662.5012608726804	6.416666666666679	1.7121840070722696	24	1081.3958898297608	1758.9341406723552	1064.1918701947955	398.10638351472255	1648.9007790051487	866.3780927053149	512.6176479363028	400.9651007925519	389.50358268446047	1185.8186580504928	6732.32490052908	3658.8877009902653	109.27200750157695	3374.604973586323	3590.6438567772652	3476.8519714985787	54.65075116090499	40.64157222664985	113.37894868151004	218.87302937467493	38.32575782584322	75.99082168587283	62.178483903543636	70.56947955315256																5.7333333333333485	8.23333333333334	7.233333333333343	8.400000000000006	5.500000000000016	9.200000000000003	6.600000000000012	7.700000000000008	8.433333333333339	2.53333333333336	2.8000000000000256	6.233333333333347	7.166666666666677	2.9000000000000252	7.266666666666676	5.100000000000017	7.20000000000001	7.10000000000001	5.33333333333335	6.766666666666678	6.600000000000012	5.666666666666682	7.033333333333344	7.266666666666676																California	Lisbon	England	California	England	Attica	Aargau	Aargau	California	Michigan	Michigan	California	Aargau	California	Arizona	California	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																United States	Portugal	United Kingdom	United States	United Kingdom	Greece	Switzerland	Switzerland	United States	United States	United States	United States	Switzerland	United States	United States	United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland															
Sanzhou, Chongqing, China	1280.9539745248749	819.7402039901943	5.760000000000014	2.4302171827957113	10	1002.0730384743579	1291.9410380355216	768.0023809581617	3018.050345104514	893.4596589019108	1275.8149735274933	781.7151192239329	951.7956493325051	2600.442036007291	226.2455056830604																														6.733333333333345	6.733333333333345	8.33333333333334	6.233333333333347	7.666666666666675	6.6666666666666785	0.30000000000002547	2.066666666666695	7.30000000000001	5.566666666666682																														Aargau	Aargau	North Carolina	Aargau	Aargau	Aargau	Arizona	California	Aargau	Aargau																														Switzerland	Switzerland	United States	Switzerland	Switzerland	Switzerland	United States	United States	Switzerland	Switzerland																													
Lipetsk, Lipetskaya Oblast’, Russia	1204.5973816403534	1389.110930404328	7.326666666666677	1.6702827438623755	20	640.889452198085	951.2014813330638	327.6284430655246	779.315429811028	594.2777620544608	5360.6580085406285	1136.7474717476196	3929.1487429042922	602.2108157859507	3342.6589551721922	349.6854777755721	939.4064954229704	555.3044917017414	461.3817769366835	861.7994502035832	73.40990847395932	252.52322981154268	331.4056606257048	2395.1258258036037	207.16875343886062																				8.100000000000007	6.500000000000012	7.566666666666675	7.966666666666674	7.566666666666675	9.9	8.13333333333334	7.700000000000008	7.733333333333341	1.6000000000000272	7.966666666666674	5.766666666666682	7.6000000000000085	7.500000000000009	4.700000000000019	8.000000000000007	8.33333333333334	7.233333333333343	8.700000000000005	7.966666666666674																				Andalusia	Texas	England	Aargau	Aargau	California	Pennsylvania	California	California	Saxony	Aargau	Virginia	Aargau	Aargau	England	Aargau	Aargau	Aargau	Alberta	Aargau																				Spain	United States	United Kingdom	Switzerland	Switzerland	United States	United States	United States	United States	Germany	Switzerland	United States	Switzerland	Switzerland	United Kingdom	Switzerland	Switzerland	Switzerland	Canada	Switzerland																			
Kashgar, Xinjiang, China	1167.9310891454638	1577.6716972224106	6.600000000000013	1.4889285451492866	23	264.63015925863044	409.4874231057087	194.17218957487856	623.1628740877516	345.994826312057	141.74376093815687	163.7041911425968	755.7917563360238	464.1737277577581	678.8526314251327	1428.145308563053	3981.9586226956058	4180.773605796984	713.20014618158	20.217268718863192	4180.8194857438275	4216.719139772279	3923.1414915487453	69.86849078464387	6.829157951109485	58.03434325363268	17.743832085218898	23.250617311435267																	6.566666666666679	6.833333333333345	7.666666666666675	6.500000000000012	4.066666666666688	7.466666666666676	7.833333333333341	4.0333333333333545	1.7666666666666944	6.2000000000000135	7.933333333333341	8.23333333333334	8.03333333333334	5.833333333333348	5.966666666666681	7.30000000000001	7.30000000000001	6.833333333333345	7.4333333333333425	6.400000000000013	7.1333333333333435	6.6666666666666785	7.800000000000008																	Unknown	Unknown	Mazovia	Île-de-France	Hamburg	Île-de-France	Île-de-France		Thuringia	Thuringia	California	Aargau	Aargau	Aargau	Aargau	Aargau	Alberta	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																	Unknown	Unknown	Poland	France	Germany	France	France	None	Germany	Germany	United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Canada	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																
Yekaterinburg, Sverdlovskaya Oblast’, Russia	1167.775192738173	470.40946201975845	6.13055555555557	2.0904305038335993	12	1663.032535639893	1356.8748554902943	521.8456935833166	924.3228797795398	1295.8750989211558	257.51163880233446	1605.6198565447444	550.7350202152055	1282.231022101938	1496.1014268483261	1308.4943434280115	1750.6579415033134																												7.766666666666675	5.066666666666684	5.633333333333349	7.966666666666674	3.033333333333358	5.066666666666684	1.5333333333333603	5.866666666666681	7.4333333333333425	8.166666666666673	8.266666666666673	7.766666666666675																												California	Aargau	Aargau	Mazovia			Thuringia	Thuringia	Aargau	Aargau	Aargau	Aargau																												United States	Switzerland	Switzerland	Poland	None	None	Germany	Germany	Switzerland	Switzerland	Switzerland	Switzerland																											
Bryansk, Bryanskaya Oblast’, Russia	1151.5239541390763	1144.5555764828935	7.40800000000001	1.1263818180350706	25	916.3186437294869	374.3219424643818	1140.2578615642267	1176.7572418870016	86.19007357281929	61.723823461849044	759.355305658195	191.67724517761806	2324.22917221435	66.28475686200933	935.9756838017255	900.0542311031653	3055.9676463186684	3361.022597163832	1343.843030811497	1505.5503821508496	837.7033937830545	364.7883210696572	4.85748861657327	436.1889477882882	284.3326428313546	849.3309886991029	3922.517081436768	3531.1594754860926	357.6908758243402															8.300000000000006	7.9000000000000075	7.4333333333333425	7.866666666666674	6.26666666666668	5.100000000000017	6.866666666666678	8.03333333333334	6.000000000000014	8.33333333333334	3.766666666666689	8.066666666666674	7.10000000000001	8.600000000000005	8.23333333333334	7.966666666666674	8.433333333333339	8.266666666666673	7.9000000000000075	7.30000000000001	7.866666666666674	7.500000000000009	6.566666666666679	7.10000000000001	8.433333333333339															California	California	California	Mazovia	Stockholm	Stockholm	Harjumaa	Aargau	New York	California	Michigan	Aargau	Alberta	Alberta	Aargau	California	California	Aargau	Aargau	Aargau	Aargau	Baden-Württemberg	Colorado	Colorado	Aargau															United States	United States	United States	Poland	Sweden	Sweden	Estonia	Switzerland	United States	United States	United States	Switzerland	Canada	Canada	Switzerland	United States	United States	Switzerland	Switzerland	Switzerland	Switzerland	Germany	United States	United States	Switzerland														
Orenburg, Orenburgskaya Oblast’, Russia	1136.0547740088493	369.44480828939163	7.457142857142867	1.1523219189916734	7	505.4849586078619	743.9701555927508	972.8833919542544	1304.623467182938	1439.7696981699335	1526.1675181541011	1459.484228400106																																	5.700000000000015	5.633333333333349	8.166666666666673	8.500000000000005	7.966666666666674	8.400000000000006	7.833333333333341																																	England	Aargau	California	Alberta	Aargau	Aargau	Aargau																																	United Kingdom	Switzerland	United States	Canada	Switzerland	Switzerland	Switzerland																																
Jiamusi, Heilongjiang, China	1088.7483734830305	1218.7556207501023	7.860606060606068	0.5808072024587101	11	143.48934412625434	2829.258168241673	3094.900660109811	327.91362048985974	205.54661362037143	2223.456123294372	2560.7988686328345	293.01549723280186	159.78191670701028	35.30778387209857	102.7635119862494																													7.533333333333342	7.400000000000009	6.633333333333345	8.100000000000007	8.066666666666674	7.333333333333343	7.6000000000000085	8.266666666666673	8.500000000000005	8.466666666666672	8.566666666666672																													Aargau	England	England	Aargau	Aargau		England	Aargau	Aargau	Aargau	Aargau																													Switzerland	United Kingdom	United Kingdom	Switzerland	Switzerland	Singapore	United Kingdom	Switzerland	Switzerland	Switzerland	Switzerland																												
Omsk, Omskaya Oblast’, Russia	1084.7931845096593	702.7389412898451	7.21250000000001	0.9852294571993503	16	2112.967386955469	1838.4427237614025	1806.9810993517644	1618.829491408799	719.2130111375292	1936.6234079995268	2032.8901432712019	710.4882177264464	247.4548963796078	958.5178202694916	722.7271878086874	93.04886336271238	297.4575742760376	576.3737700308436	1452.1123180444347	232.56304037059738																								6.333333333333346	4.8000000000000185	7.233333333333343	7.533333333333342	8.066666666666674	8.300000000000006	8.400000000000006	7.033333333333344	5.466666666666683	7.500000000000009	7.500000000000009	6.300000000000013	7.466666666666676	7.4333333333333425	8.13333333333334	7.9000000000000075																								New York	Aargau	Aargau	Aargau	Alberta	Île-de-France	Mazovia	Île-de-France	Île-de-France	Aargau	Alberta	Aargau	Aargau	Aargau	Aargau	Aargau																								United States	Switzerland	Switzerland	Switzerland	Canada	France	Poland	France	France	Switzerland	Canada	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																							
Hamhŭng, Korea, North	1055.821669041939	2079.7268413287484	7.792307692307701	1.2574668503322093	13	7277.1588304862535	176.7080079668074	487.62027977547837	364.9977508641889	4138.9911841537405	185.19066694819176	89.10985648837355	77.70035229885009	184.40964871493858	166.71045540145093	163.73900125924362	267.8237006244493	145.5219625632375																											10	7.933333333333341	7.4333333333333425	7.766666666666675	3.966666666666688	7.466666666666676	7.966666666666674	8.13333333333334	8.000000000000007	8.266666666666673	8.300000000000006	8.000000000000007	8.066666666666674																											Massachusetts	Aargau	Aargau	Aargau	England	California	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																											United States	Switzerland	Switzerland	Switzerland	United Kingdom	United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																										
Shuangshui, Guizhou, China	1054.2706595888499	427.7625275220918	7.0179487179487285	1.003380217374255	13	1803.572135138273	1206.0855584158082	1268.673019282556	1561.729576173672	703.0658527708374	1330.230437046526	947.0489088477023	1000.9382804286126	1088.9003017172724	394.89226671477775	1038.7965643617717	150.82236774724558	1210.7633060099918																											6.500000000000012	6.466666666666679	7.033333333333344	8.800000000000004	7.30000000000001	7.566666666666675	4.40000000000002	7.066666666666677	6.966666666666677	6.2000000000000135	8.03333333333334	7.566666666666675	7.333333333333343																											Pennsylvania	Pennsylvania	Aargau	California	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau	Aargau																											United States	United States	Switzerland	United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																										
General Santos, Philippines	1045.4579583782452	1942.3743536702818	7.254166666666677	1.4893545861658728	16	8259.226127703547	2360.878297370469	249.02315686542434	1188.669051935807	316.61892016653445	483.191041234287	311.5276385419151	163.75283041741855	456.5952422664902	354.80748703753665	584.4448621609957	1080.7390524988818	175.88314761267438	28.027134794645583	381.4109021916364	332.5324412536571																								9.533333333333335	6.733333333333345	8.366666666666672	8.066666666666674	2.5000000000000266	5.666666666666682	6.566666666666679	7.333333333333343	7.866666666666674	7.333333333333343	8.100000000000007	8.166666666666673	7.9000000000000075	7.066666666666677	7.633333333333342	7.233333333333343																								California	Pennsylvania	California	California	Saxony	Aargau	Aargau	Aargau	Aargau	Aargau	Alberta	Florida	Aargau	Aargau	Aargau	Aargau																								United States	United States	United States	United States	Germany	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	Canada	United States	Switzerland	Switzerland	Switzerland	Switzerland																							
Zāhedān, Iran	1027.5629026501208	440.4108442431308	7.702380952380961	0.5041831812665978	14	1366.8097213198535	1207.1078104890669	711.1309912244566	307.55132963525404	590.6061412050444	368.5152455789327	1390.476470538915	1383.5708271875799	1581.4612409813046	338.09082027276844	1400.7004185490052	1228.438450027343	1257.9464088045254	1253.474761287641																										7.633333333333342	7.30000000000001	6.966666666666677	7.4333333333333425	6.800000000000011	7.800000000000008	7.233333333333343	8.000000000000007	7.500000000000009	8.33333333333334	8.33333333333334	8.433333333333339	8.200000000000006	7.866666666666674																										New York	England	Central and Western	Aargau	Aargau	Aargau	Aargau	Aargau	Virginia	Aargau	Aargau	Aargau	Aargau	Aargau																										United States	United Kingdom	Hong Kong	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland	United States	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																									
