citystring	mean_dist	std_dist	mean_time	std_time	num_guesses	dists0	dists1	dists2	dists3	dists4	dists5	dists6	dists7	dists8	dists9	dists10	dists11	dists12	dists13	dists14	dists15	dists16	dists17	dists18	dists19	times0	times1	times2	times3	times4	times5	times6	times7	times8	times9	times10	times11	times12	times13	times14	times15	times16	times17	times18	times19	region0	region1	region2	region3	region4	region5	region6	region7	region8	region9	region10	region11	region12	region13	region14	region15	region16	region17	region18	region19	country0	country1	country2	country3	country4	country5	country6	country7	country8	country9	country10	country11	country12	country13	country14	country15	country16	country17	country18	country19
Mendi, Papua New Guinea	309.34240045703854	151.76169130767926	6.2466666666666795	2.5346137115281735	5	288.3240453561258	573.6848819355843	111.74887106068276	237.74061990207372	335.21358403072634																1.8666666666666947	4.900000000000018	8.300000000000006	7.800000000000008	8.366666666666672																New South Wales	Victoria	California	California	Aargau																Australia	Australia	United States	United States	Switzerland															
Kotabumi, Lampung, Indonesia	307.9171013326393	114.43364699480925	7.850000000000008	0.2166666666666659	2	422.3507483274485	193.48345433783																			7.633333333333342	8.066666666666674																			New South Wales	California																			Australia	United States																		
Hawera, New Zealand	307.39007800678746	232.63396973581575	7.714285714285722	0.5309043326540451	7	320.2716605234612	798.999903952017	204.57309190982946	20.63397230090883	219.65305315388716	428.17985731409476	159.41900689331365														7.933333333333341	6.800000000000011	8.533333333333339	8.166666666666673	7.700000000000008	7.266666666666676	7.6000000000000085														Victoria	California	California	California	California	California	Victoria														Australia	United States	United States	United States	United States	United States	Australia													
Porirua, New Zealand	304.71232806840635	161.58733067619087	6.907407407407418	1.6301009419458554	9	403.0646663671419	212.84775056890996	715.8225645103109	248.78731867379756	252.13611134270363	229.25385564604542	287.28957150660807	275.99693787497046	117.21217612516918												4.533333333333353	5.766666666666682	3.8333333333333552	8.266666666666673	7.700000000000008	7.966666666666674	8.300000000000006	7.800000000000008	8.000000000000007												Michigan	Michigan	Victoria	New South Wales	New South Wales	California	California	Aargau	Aargau												United States	United States	Australia	Australia	Australia	United States	United States	Switzerland	Switzerland											
Parkes, New South Wales, Australia	302.6305566026416	29.615628580724575	7.533333333333342	0.6333333333333311	2	332.2461851833662	273.01492802191706																			8.166666666666673	6.900000000000011																			California	Victoria																			United States	Australia																		
Singapore, Singapore	302.3477866051665	348.55535353738856	7.169444444444455	0.5636288398723048	12	659.7574035722422	668.0656921856985	929.4830135277613	92.81900245496502	78.07006011182685	109.40428693793874	34.605623651608695	878.6952509501496	31.190877383544493	20.67096593805774	56.25176927451703	69.15949327368843									7.566666666666675	7.933333333333341	6.066666666666681	7.30000000000001	6.600000000000012	6.933333333333344	6.866666666666678	6.433333333333346	7.400000000000009	7.633333333333342	7.4333333333333425	7.866666666666674									California	New South Wales	Victoria	Victoria	California	Aargau	Aargau	Victoria	California	Aargau	Aargau	Aargau									United States	Australia	Australia	Australia	United States	Switzerland	Switzerland	Australia	United States	Switzerland	Switzerland	Switzerland								
Greymouth, New Zealand	300.9728968340274	201.12910232604943	7.494444444444454	0.5889150937565775	6	180.71363351128474	509.4469271545062	181.63305836036818	121.34232016467944	647.2611506807326	165.44029113259342															7.6000000000000085	7.333333333333343	8.23333333333334	6.6666666666666785	6.933333333333344	8.200000000000006															Île-de-France	Victoria	New South Wales	California	Victoria	Aargau															France	Australia	Australia	United States	Australia	Switzerland														
Davao, Philippines	298.9553587110538	148.08079409147004	6.388888888888903	1.7525290367612563	3	397.2955178245829	409.9064588816597	89.66409942691887																		6.800000000000011	8.300000000000006	4.066666666666688																		New York	New South Wales	California																		United States	Australia	United States																	
Adelaide, South Australia, Australia	296.8680576747626	238.3403962047668	6.757142857142869	1.4174327660451798	7	267.98987078988625	103.9709127534223	29.533117733212787	259.53703291770796	245.1677461767459	827.7460119641173	344.13171138824595														3.7333333333333556	7.666666666666675	8.03333333333334	8.066666666666674	6.866666666666678	5.933333333333348	7.000000000000011														Victoria	Victoria	New South Wales	North Carolina	North Carolina	Bavaria	Aargau														Australia	Australia	Australia	United States	United States	Germany	Switzerland													
Timaru, New Zealand	289.5003864632658	100.03228344229356	7.722222222222231	0.2997941680718221	3	164.3916415730008	409.24337718167	294.8661406351266																		7.366666666666676	7.700000000000008	8.100000000000007																		Victoria	New South Wales	New South Wales																		Australia	Australia	Australia																	
Wollongong, New South Wales, Australia	288.5151682656318	65.57014365871068	6.150000000000014	1.016666666666663	2	222.94502460692112	354.0853119243425																			7.166666666666677	5.133333333333351																			Île-de-France	California																			France	United States																		
Mildura, Victoria, Australia	286.3530265775679	143.58169780080692	7.090476190476202	1.1753708345196618	7	435.35250217920327	157.65800044647492	95.82222137129249	362.0464613010541	121.08544942093074	381.2270794178049	451.27947190621506														5.633333333333349	7.333333333333343	6.566666666666679	5.33333333333335	8.33333333333334	8.066666666666674	8.366666666666672														Queensland	New South Wales	New South Wales	Victoria	Aargau	Aargau	Aargau														Australia	Australia	Australia	Australia	Switzerland	Switzerland	Switzerland													
Auckland, New Zealand	286.185046538028	0	6.433333333333346	0	1	286.185046538028																				6.433333333333346																				Aargau																				Switzerland																			
Madang, Papua New Guinea	284.3366121198467	184.56755914031697	7.378787878787889	1.1697597722188737	11	183.43387165849532	374.53275117451307	134.75142046683754	279.5039479404466	328.08213851602983	68.46511495191307	180.41844581043168	127.26357263161184	750.3954078151564	240.72575171957925	460.1303106332982										7.500000000000009	7.700000000000008	6.300000000000013	8.366666666666672	8.533333333333339	4.200000000000021	7.766666666666675	8.03333333333334	6.933333333333344	7.933333333333341	7.9000000000000075										Île-de-France	Victoria	Victoria	New South Wales	Queensland	New York	California	Aargau	Aargau	Aargau	North Carolina										France	Australia	Australia	Australia	Australia	United States	United States	Switzerland	Switzerland	Switzerland	United States									
Dubbo, New South Wales, Australia	282.79627927121527	44.91985212174019	6.39166666666668	1.391716565971673	4	255.91109037412244	261.2210691650532	360.4524286924337	253.60052885325172																	6.133333333333347	4.3333333333333535	6.933333333333344	8.166666666666673																	Victoria	New York	Oklahoma	Aargau																	Australia	United States	United States	Switzerland																
Murray Bridge, South Australia, Australia	279.57473742516237	191.8847437939293	7.111111111111121	0.3083208205669235	6	510.7182750437329	119.04199479567141	26.7178605998258	498.26774643060673	140.32852521362543	382.374022467512															7.20000000000001	7.066666666666677	6.700000000000012	7.10000000000001	6.900000000000011	7.700000000000008															Victoria	New South Wales	California	Victoria	Aargau	Aargau															Australia	Australia	United States	Australia	Switzerland	Switzerland														
Kairaki, New Zealand	279.4182134462473	124.0464190111259	8.255555555555562	0.24695678634325322	3	446.26716280230835	149.06462010709487	242.9228574293387																		8.300000000000006	8.533333333333339	7.933333333333341																		New South Wales	California	North Carolina																		Australia	United States	United States																	
Bendigo, Victoria, Australia	278.2265642968181	0	6.2000000000000135	0	1	278.2265642968181																				6.2000000000000135																				California																				United States																			
Geelong, Victoria, Australia	273.355140124116	174.53641944141106	7.633333333333342	0.16666666666666607	2	447.8915595655271	98.81872068270498																			7.800000000000008	7.466666666666676																			Aargau	Aargau																			Switzerland	Switzerland																		
Horsham, Victoria, Australia	271.1649586538716	100.14358945416305	5.483333333333349	2.3499999999999917	2	371.3085481080347	171.0213691997086																			3.1333333333333577	7.833333333333341																			Ontario	Victoria																			Canada	Australia																		
Lower Hutt, New Zealand	266.97813087482785	144.70166127920612	7.900000000000008	0.3711842908553335	6	220.17890423443805	549.1576273426995	348.5682517303425	119.16910256551301	204.80000411545242	159.99489526052162															8.23333333333334	7.633333333333342	8.400000000000006	7.400000000000009	7.6000000000000085	8.13333333333334															New South Wales	California	California	California	Victoria	Aargau															Australia	United States	United States	United States	Australia	Switzerland														
Katherine, Northern Territory, Australia	266.80981345232146	112.52915335126012	7.433333333333343	0.6010572695424611	7	412.2482043351156	303.5586061092528	179.99074893344064	446.4507150800379	162.29313927003324	202.43125134114237	160.69602909722764														7.333333333333343	6.866666666666678	6.433333333333346	8.33333333333334	7.6000000000000085	7.4333333333333425	8.03333333333334														Île-de-France	Aargau	Aargau	California	Aargau	Aargau	Aargau														France	Switzerland	Switzerland	United States	Switzerland	Switzerland	Switzerland													
Levin, New Zealand	261.52133957906074	214.59827119426276	7.955555555555563	0.3499559055116348	3	200.91988644078694	549.3569665160832	34.28716578031213																		7.466666666666676	8.13333333333334	8.266666666666673																		Île-de-France	Aargau	Aargau																		France	Switzerland	Switzerland																	
Malang, Indonesia	258.66602283115066	0	8.166666666666673	0	1	258.66602283115066																				8.166666666666673																				Île-de-France																				France																			
Whanganui, New Zealand	257.3549675631836	103.17351618377582	7.788888888888896	0.35728744868474377	6	207.81256016106403	171.92711001675733	422.57569882513656	243.2852251347972	364.3504910947742	134.17872014657232															7.30000000000001	8.000000000000007	8.33333333333334	7.666666666666675	7.4333333333333425	8.000000000000007															Ontario	Victoria	New South Wales	Victoria	North Carolina	Aargau															Canada	Australia	Australia	Australia	United States	Switzerland														
Bogor, Jawa Barat, Indonesia	252.1989096320284	0	7.10000000000001	0	1	252.1989096320284																				7.10000000000001																				Victoria																				Australia																			
Ashton, New Zealand	249.24623001745866	84.72377656352447	7.966666666666673	0.2596293654566196	3	330.7832090305527	132.44506159688993	284.5104194249334																		7.633333333333342	8.266666666666673	8.000000000000007																		Victoria	New South Wales	North Carolina																		Australia	Australia	United States																	
Batemans Bay, New South Wales, Australia	247.75711109526378	122.31163337532291	7.783333333333341	0.6214528974135538	6	482.591894000107	78.58717746034858	250.2041251227656	269.87007546419375	175.9076311264225	229.38176339774503															7.733333333333341	6.533333333333346	8.13333333333334	8.366666666666672	8.300000000000006	7.633333333333342															Victoria	Victoria	Aargau	Aargau	Aargau	Aargau															Australia	Australia	Switzerland	Switzerland	Switzerland	Switzerland														
Port Augusta, South Australia, Australia	245.1933983781308	270.1003731518473	6.733333333333347	0.9016739283221332	7	213.8762192414099	73.61372771400455	238.39752121645364	866.8189604575957	265.37947634049755	25.687690095829133	32.58019358112517														5.700000000000015	5.933333333333348	5.533333333333349	7.800000000000008	7.233333333333343	7.666666666666675	7.266666666666676														Victoria	Victoria	Aargau	Aargau	Aargau	Aargau	Aargau														Australia	Australia	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland													
New Plymouth, New Zealand	243.48493224134918	174.81340268494495	7.153333333333343	0.6728381017088048	5	583.557216424903	109.66812122167146	228.99184093339517	129.63048107826728	165.57700154850917																7.166666666666677	6.26666666666668	7.266666666666676	6.766666666666678	8.300000000000006																Ontario	Victoria	Victoria	Victoria	Aargau																Canada	Australia	Australia	Australia	Switzerland															
Mount Hagen, Papua New Guinea	241.14238550031686	175.16334237591417	7.186666666666677	0.5145008368419912	5	437.4045906700238	77.68000694147683	85.28219398591308	134.88124789154622	470.46388801262435																7.366666666666676	7.833333333333341	6.600000000000012	6.566666666666679	7.566666666666675																Victoria	California	Aargau	Aargau	Aargau																Australia	United States	Switzerland	Switzerland	Switzerland															
Taupo, New Zealand	240.7701404455692	219.0270007627739	7.850000000000008	0.38333333333333197	2	21.74313968279532	459.7971412083431																			7.466666666666676	8.23333333333334																			Île-de-France	New South Wales																			France	Australia																		
Wangaratta, Victoria, Australia	238.30110303514644	62.88721135187084	7.760000000000008	0.29544693074880346	5	172.72976929140665	162.86646162349686	283.7248482886022	246.38879335502244	325.795642617204																7.20000000000001	7.833333333333341	7.966666666666674	7.766666666666675	8.03333333333334																Victoria	Victoria	Aargau	Aargau	Aargau																Australia	Australia	Switzerland	Switzerland	Switzerland															
Katoomba, New South Wales, Australia	232.01473688582152	226.19705520248507	6.733333333333344	0.7200088182881476	7	108.72653123614869	146.93509059463653	773.4302272289128	197.26849030627196	207.73023337610533	54.7146861301192	135.29789932855607														7.000000000000011	5.700000000000015	6.933333333333344	7.10000000000001	5.666666666666682	6.933333333333344	7.800000000000008														Victoria	Victoria	New York	Victoria	Victoria	Aargau	Aargau														Australia	Australia	United States	Australia	Australia	Switzerland	Switzerland													
Masterton, New Zealand	230.73195358523537	113.16514940061883	6.97500000000001	0.6759252917297863	4	259.42174488187254	394.60318335652977	184.49465770967447	84.40822839286476																	6.900000000000011	8.000000000000007	6.100000000000014	6.900000000000011																	Île-de-France	Massachusetts	Massachusetts	Aargau																	France	United States	United States	Switzerland																
Napier, New Zealand	229.91234316048593	133.5804919488455	7.150000000000009	1.4139189038508015	4	119.81988035808592	457.6358109779907	186.5586724658617	155.63500884000536																	7.6000000000000085	8.466666666666672	4.766666666666685	7.766666666666675																	Ontario	New South Wales	Queensland	Victoria																	Canada	Australia	Australia	Australia																
Goroka, Papua New Guinea	228.02030234073348	92.99356900053732	7.804166666666675	0.47271012376625654	8	341.82281885624974	74.88255495932906	221.26014558292044	111.56779031455946	192.34918092965566	239.1624697959179	333.34664483956726	309.77081344766844													8.300000000000006	7.10000000000001	7.366666666666676	8.33333333333334	7.30000000000001	7.666666666666675	8.100000000000007	8.266666666666673													California	Victoria	New South Wales	California	Bavaria	Aargau	Aargau	Aargau													United States	Australia	Australia	United States	Germany	Switzerland	Switzerland	Switzerland												
Perth, Western Australia, Australia	222.90609053505636	49.0108447812707	7.844444444444452	0.13966450099973876	3	167.17732969174304	286.4611317857353	215.0798101276907																		7.700000000000008	8.03333333333334	7.800000000000008																		Victoria	California	Aargau																		Australia	United States	Switzerland																	
Wellington, New Zealand	218.46298951934722	174.82007405540958	7.833333333333341	0.16666666666666607	2	393.2830635747568	43.642915463937655																			8.000000000000007	7.666666666666675																			North Carolina	Aargau																			United States	Switzerland																		
Gold Coast, Queensland, Australia	218.29985946157373	156.894602202184	6.944444444444456	1.2776811557671413	6	101.83374911978743	354.98216014424287	496.8366711138183	162.44921504911716	148.06519869632444	45.63216264615213															7.633333333333342	7.933333333333341	4.166666666666687	6.933333333333344	7.566666666666675	7.4333333333333425															Île-de-France	California	California	Victoria	Aargau	Aargau															France	United States	United States	Australia	Switzerland	Switzerland														
Upper Hutt, New Zealand	216.45461568054876	104.26590760074168	7.4750000000000085	0.5407684860969187	8	129.7197043297334	439.7928290034079	205.4112008260411	138.1132151286057	236.82033530297292	192.0649696278668	298.21665810032033	91.49801312544203													7.233333333333343	6.333333333333346	7.20000000000001	7.633333333333342	8.266666666666673	7.533333333333342	7.666666666666675	7.933333333333341													Île-de-France	Ontario	Victoria	Victoria	California	Aargau	Victoria	Aargau													France	Canada	Australia	Australia	United States	Switzerland	Australia	Switzerland												
Galle, Sri Lanka	211.62395346705327	5.728583303586788	7.350000000000009	0.5833333333333313	2	217.35253677064006	205.89537016346648																			6.766666666666678	7.933333333333341																			Victoria	New South Wales																			Australia	Australia																		
Merauke, Papua, Indonesia	210.21798095758334	91.05511769315774	7.716666666666675	0.14999999999999947	2	301.2730986507411	119.1628632644256																			7.866666666666674	7.566666666666675																			Aargau	Aargau																			Switzerland	Switzerland																		
Muswellbrook, New South Wales, Australia	207.3265929787122	87.91686498834736	7.062500000000011	1.2184276639268379	8	291.20016494616533	302.5150257590604	201.68771329037568	310.68283355696826	101.0839031515632	86.00344964253433	245.19893450836557	120.24071897466469													6.833333333333345	6.833333333333345	8.03333333333334	4.466666666666686	7.700000000000008	8.266666666666673	6.133333333333347	8.23333333333334													California	California	California	Victoria	Aargau	California	Aargau	Aargau													United States	United States	United States	Australia	Switzerland	United States	Switzerland	Switzerland												
Ballarat, Victoria, Australia	206.92796180130406	112.39917082079847	7.300000000000009	0.4996294923537119	3	74.97643394905775	349.66280418006335	196.14464727479108																		7.566666666666675	6.600000000000012	7.733333333333341																		Victoria	Aargau	Aargau																		Australia	Switzerland	Switzerland																	
Nelson, New Zealand	202.38905661144395	106.88202207986934	7.620000000000009	0.757950452792849	5	309.25054157344084	132.03175784435513	48.618056401699604	332.53481717132047	189.51011006640374																6.133333333333347	8.23333333333334	7.966666666666674	7.766666666666675	8.000000000000007																New South Wales	Aargau	Aargau	North Carolina	Aargau																Australia	Switzerland	Switzerland	United States	Switzerland															
Pagadian, Philippines	198.0620673906414	47.12597184218516	7.48095238095239	0.5386217398924826	7	151.23782871525628	250.1655039212242	213.9750317058215	106.71765286138132	205.10494267413208	229.0252324728332	230.2082793838411														7.566666666666675	7.033333333333344	7.166666666666677	6.6666666666666785	8.366666666666672	8.000000000000007	7.566666666666675														Massachusetts	Massachusetts	California	California	California	California	California														United States	United States	United States	United States	United States	United States	United States													
Padangsidempuan, Sumatera Utara, Indonesia	196.68858899061001	0	7.466666666666676	0	1	196.68858899061001																				7.466666666666676																				California																				United States																			
Bengkulu, Indonesia	195.7464039088794	174.3924396447792	7.10000000000001	0.9999999999999964	2	21.35396426410019	370.1388435536586																			6.100000000000014	8.100000000000007																			California	Île-de-France																			United States	France																		
Nabire, Papua, Indonesia	195.4972444499966	0	4.366666666666687	0	1	195.4972444499966																				4.366666666666687																				Florida																				United States																			
Thiruvananthapuram, Kerala, India	194.4634945711053	0	7.30000000000001	0	1	194.4634945711053																				7.30000000000001																				Victoria																				Australia																			
Melton, Victoria, Australia	192.47468337629124	231.1513204401117	7.293939393939403	1.2953544175375187	11	16.894773014923356	149.67844904639102	895.2174130974972	238.6910787972408	156.23581957269965	91.66784985086332	166.48499895703594	55.13022938775769	196.2195131413899	94.24974373907177	56.75164853433245										6.000000000000014	7.933333333333341	5.666666666666682	8.03333333333334	4.266666666666687	7.966666666666674	7.866666666666674	7.566666666666675	8.33333333333334	8.466666666666672	8.13333333333334										Victoria	New South Wales	California	California	New South Wales	Victoria	Aargau	North Carolina	Aargau	Aargau	Aargau										Australia	Australia	United States	United States	Australia	Australia	Switzerland	United States	Switzerland	Switzerland	Switzerland									
Nowra, New South Wales, Australia	189.21779218842445	20.433140023316568	7.6833333333333425	0.8200609733428332	4	221.05034378798763	183.82619075091853	164.2051541439298	187.78948007086183																	7.466666666666676	8.466666666666672	6.433333333333346	8.366666666666672																	Victoria	California	North Carolina	Aargau																	Australia	United States	United States	Switzerland																
Lithgow, New South Wales, Australia	185.43767524975806	14.823173483852443	4.600000000000019	1.7333333333333272	2	170.6145017659056	200.2608487336105																			2.866666666666692	6.333333333333346																			California	North Carolina																			United States	United States																		
Orange, New South Wales, Australia	180.79785003331176	72.25452684302316	7.328571428571438	0.8202648761955961	7	250.3297246499373	79.90532454338552	292.74073497689585	110.48790771609198	228.17460493052144	160.63567584539706	143.31097757095307														7.4333333333333425	8.03333333333334	7.10000000000001	5.533333333333349	7.933333333333341	7.20000000000001	8.066666666666674														Victoria	New South Wales	Aargau	Victoria	California	Aargau	Aargau														Australia	Australia	Switzerland	Australia	United States	Switzerland	Switzerland													
Cranbourne, Victoria, Australia	179.12857573026014	206.7210561660804	7.133333333333343	0.5525697542693874	5	148.20133163623157	67.20665594484922	585.1685005406706	65.99742956571048	29.068960963838926																7.000000000000011	8.13333333333334	6.433333333333346	7.10000000000001	7.000000000000011																Victoria	New South Wales	California	Victoria	Victoria																Australia	Australia	United States	Australia	Australia															
Cagayan de Oro, Philippines	171.94278278493636	16.817023331972823	6.425000000000013	1.417034266032793	4	200.17926856550147	163.3809250464048	156.31327300042116	167.897664527418																	7.033333333333344	7.833333333333341	4.066666666666688	6.766666666666678																	California	Île-de-France	New York	Florida																	United States	France	United States	United States																
Palmerston North, New Zealand	165.50727316297622	94.0591298981849	7.4266666666666765	0.4073764297987236	5	239.14710090636703	204.63486915023952	269.61589119361	95.3157782352144	18.822726329450134																6.900000000000011	7.666666666666675	7.033333333333344	7.533333333333342	8.000000000000007																Île-de-France	Victoria	Victoria	Victoria	Aargau																France	Australia	Australia	Australia	Switzerland															
Tuticorin, Tamil Nādu, India	164.87834655872004	0	5.200000000000017	0	1	164.87834655872004																				5.200000000000017																				Ontario																				Canada																			
Jambi, Indonesia	163.05894434233997	0	8.600000000000005	0	1	163.05894434233997																				8.600000000000005																				New York																				United States																			
Hobart, Tasmania, Australia	162.04538237358318	78.34846827494269	7.574074074074082	0.8094774686739618	9	38.49793193121579	169.27030580947192	145.77715046737532	114.04489090126636	170.4869145156458	187.50266580651493	324.6342732569872	83.10194707740486	225.0923615963663												6.966666666666677	7.533333333333342	8.13333333333334	8.500000000000005	8.000000000000007	6.433333333333346	6.16666666666668	8.400000000000006	8.03333333333334												Victoria	California	California	Pennsylvania	North Carolina	Bavaria	Aargau	California	Aargau												Australia	United States	United States	United States	United States	Germany	Switzerland	United States	Switzerland											
Newcastle, New South Wales, Australia	158.9952240263792	49.95374033277522	7.233333333333344	0.33110365390558416	3	199.1176467297148	189.28982323479119	88.57820211463158																		7.033333333333344	6.966666666666677	7.700000000000008																		Victoria	Victoria	Aargau																		Australia	Australia	Switzerland																	
Indramayu, Jawa Barat, Indonesia	157.66110439944268	0	8.33333333333334	0	1	157.66110439944268																				8.33333333333334																				New South Wales																				Australia																			
Quilon, Kerala, India	156.94192395722104	0	7.233333333333343	0	1	156.94192395722104																				7.233333333333343																				New South Wales																				Australia																			
Seremban, Malaysia	156.52816055601878	49.34644496490473	6.9777777777777885	0.5852086258783843	3	214.12313556643477	93.60265543809666	161.8586906635249																		7.766666666666675	6.36666666666668	6.800000000000011																		New South Wales	Aargau	Aargau																		Australia	Switzerland	Switzerland																	
Maitland, New South Wales, Australia	150.7772038277668	0	7.833333333333341	0	1	150.7772038277668																				7.833333333333341																				New South Wales																				Australia																			
Echuca, Victoria, Australia	146.9743738388612	54.69236357511747	7.4333333333333425	0.4333333333333318	2	92.28201026374373	201.66673741397867																			7.000000000000011	7.866666666666674																			Victoria	Aargau																			Australia	Switzerland																		
Ozamiz City, Philippines	142.03950275408576	33.60374905536822	5.557142857142872	2.620051755560188	7	115.0494556618884	172.89274909174978	103.79548842076073	146.30801674823917	175.1225237971122	183.24122799576227	97.86705756308768														0.5333333333333588	6.966666666666677	7.1333333333333435	6.833333333333345	2.53333333333336	7.000000000000011	7.9000000000000075														Victoria	Île-de-France	Victoria	Victoria	Michigan	Michigan	New South Wales														Australia	France	Australia	Australia	United States	United States	Australia													
Colombo, Sri Lanka	139.6998508604892	33.080377143642735	7.52222222222223	0.5123174170399317	3	186.4596325273231	115.0514404958948	117.58847955824967																		7.933333333333341	6.800000000000011	7.833333333333341																		Île-de-France	Victoria	New South Wales																		France	Australia	Australia																	
Puttalam, Sri Lanka	138.10778167261049	75.93257137338261	7.5814814814814895	0.5294094336357207	9	48.808893719801986	103.46003106174366	125.24335478671249	184.626339461539	205.97128788793196	251.9751757271543	208.03022528480452	7.886854429720545	106.96787269408553												7.966666666666674	7.500000000000009	7.6000000000000085	7.633333333333342	7.20000000000001	6.633333333333345	8.466666666666672	8.13333333333334	7.10000000000001												Île-de-France	Massachusetts	Massachusetts	California	California	California	California	California	Florida												France	United States	United States	United States	United States	United States	United States	United States	United States											
Bundaberg, Queensland, Australia	135.48155659068925	69.52870594363618	7.658333333333342	0.3243583409338082	4	148.16947859506493	244.15823235153357	74.2171124457566	75.38140297040196																	7.166666666666677	8.066666666666674	7.633333333333342	7.766666666666675																	Victoria	Victoria	Aargau	Aargau																	Australia	Australia	Switzerland	Switzerland																
Batticaloa, Sri Lanka	134.76005106020102	10.473239227887595	7.466666666666676	0.612825877028339	3	121.16595162773343	136.46461068297532	146.64959086989435																		6.700000000000012	8.200000000000006	7.500000000000009																		Victoria	New South Wales	California																		Australia	Australia	United States																	
Matara, Sri Lanka	134.73487778225348	61.476504540474316	7.316666666666676	0.04999999999999982	2	73.25837324177915	196.2113823227278																			7.366666666666676	7.266666666666676																			Île-de-France	Victoria																			France	Australia																		
Butuan, Philippines	132.58207347846957	80.09810359652282	7.066666666666677	0.5354126134736318	3	238.16937986099703	115.31376121168753	44.2630793627241																		6.966666666666677	7.766666666666675	6.466666666666679																		Île-de-France	Victoria	Victoria																		France	Australia	Australia																	
Moratuwa, Sri Lanka	127.30588434106946	82.17982402176365	8.400000000000006	0.1999999999999993	2	209.4857083628331	45.12606031930581																			8.600000000000005	8.200000000000006																			Massachusetts	Massachusetts																			United States	United States																		
Iligan, Philippines	125.2867474461183	66.5904327652594	7.6000000000000085	0.06666666666666643	2	191.8771802113777	58.696314680858904																			7.666666666666675	7.533333333333342																			New York	Victoria																			United States	Australia																		
Cotabato, Philippines	124.15013194702999	90.32309857362618	6.816666666666678	1.3504114599303052	4	46.54991431746359	37.206589888319286	258.93272896260106	153.91129461973605																	8.200000000000006	5.500000000000016	5.43333333333335	8.13333333333334																	California	Victoria	Ontario	Victoria																	United States	Australia	Canada	Australia																
Tuncurry, New South Wales, Australia	121.93892668475345	0	8.066666666666674	0	1	121.93892668475345																				8.066666666666674																				Aargau																				Switzerland																			
Burnie, Tasmania, Australia	121.89919424968456	51.30994022669086	7.680555555555563	0.593866541519052	12	164.28857640591013	135.39944463491668	58.82964375099432	226.3779469245275	36.34916636564077	81.7029997834378	113.41253604925905	165.71022527751018	133.69854417520634	163.6763338694637	85.26977513905992	98.07513862028827									7.933333333333341	6.700000000000012	7.700000000000008	6.966666666666677	7.20000000000001	8.33333333333334	8.300000000000006	8.300000000000006	8.200000000000006	7.966666666666674	6.733333333333345	7.833333333333341									California	Victoria	Victoria	Victoria	Victoria	California	Aargau	Aargau	New York	Oklahoma	Aargau	Aargau									United States	Australia	Australia	Australia	Australia	United States	Switzerland	Switzerland	United States	United States	Switzerland	Switzerland								
Kingston, Tasmania, Australia	121.45581760077377	51.332606555015786	7.816666666666674	0.3553167600887961	16	57.75896750206828	76.19432054107838	159.08536281607735	169.4323803631434	159.8164371081655	71.76072436521666	89.54850753635687	129.21909518109516	175.6423490880593	215.05567307899358	132.79369161267795	54.80442795442425	57.00772309168475	187.24869996827994	72.69653329569985	135.22818810935917					7.1333333333333435	7.733333333333341	7.033333333333344	8.066666666666674	7.9000000000000075	7.400000000000009	7.766666666666675	8.066666666666674	7.866666666666674	7.500000000000009	8.13333333333334	8.100000000000007	7.933333333333341	8.100000000000007	8.13333333333334	8.200000000000006					Victoria	Victoria	New South Wales	California	New South Wales	Victoria	England	Aargau	Aargau	Victoria	Aargau	Aargau	Aargau	North Carolina	North Carolina	Aargau					Australia	Australia	Australia	United States	Australia	Australia	United Kingdom	Switzerland	Switzerland	Australia	Switzerland	Switzerland	Switzerland	United States	United States	Switzerland				
Tinnevelly, Tamil Nādu, India	112.3550013216662	52.20888168124503	7.780000000000008	0.10022197585581903	5	114.61055708261681	199.89629725515607	126.80322220945683	72.84202372357959	47.62290633752156																7.766666666666675	7.766666666666675	7.666666666666675	7.733333333333341	7.966666666666674																Île-de-France	New York	Victoria	Victoria	California																France	United States	Australia	Australia	United States															
Kuching, Malaysia	103.27597129751139	71.25640415853103	5.533333333333349	0.4333333333333318	2	32.01956713898037	174.53237545604242																			5.100000000000017	5.966666666666681																			Aargau	Aargau																			Switzerland	Switzerland																		
Melbourne, Victoria, Australia	102.035265441789	57.267342400871044	7.8121212121212205	0.2917286435529381	11	34.018443763278945	34.485873173450166	177.03876344425225	24.51455980304091	138.70188749082163	162.07857442774485	135.67458669840443	157.72323069537313	27.3670596804401	107.137887141773	123.64705354109951										7.266666666666676	8.200000000000006	8.166666666666673	7.933333333333341	7.366666666666676	7.733333333333341	7.733333333333341	7.766666666666675	7.666666666666675	8.066666666666674	8.03333333333334										Victoria	New South Wales	California	Victoria	North Carolina	North Carolina	North Carolina	New York	Oklahoma	Aargau	Aargau										Australia	Australia	United States	Australia	United States	United States	United States	United States	United States	Switzerland	Switzerland									
Whakatane, New Zealand	98.54012878991523	0	7.233333333333343	0	1	98.54012878991523																				7.233333333333343																				Victoria																				Australia																			
Sri Jayewardenepura Kotte, Sri Lanka	96.94277736631346	65.38967795620586	6.56666666666668	1.2832251036613394	3	26.06228025311521	80.94683903504257	183.8192128107826																		5.166666666666684	8.266666666666673	6.26666666666668																		Ontario	California	Victoria																		Canada	United States	Australia																	
