citystring	mean_dist	std_dist	mean_time	std_time	num_guesses	dists0	dists1	dists2	dists3	dists4	dists5	dists6	dists7	dists8	dists9	dists10	dists11	dists12	dists13	dists14	dists15	dists16	dists17	dists18	dists19	times0	times1	times2	times3	times4	times5	times6	times7	times8	times9	times10	times11	times12	times13	times14	times15	times16	times17	times18	times19	region0	region1	region2	region3	region4	region5	region6	region7	region8	region9	region10	region11	region12	region13	region14	region15	region16	region17	region18	region19	country0	country1	country2	country3	country4	country5	country6	country7	country8	country9	country10	country11	country12	country13	country14	country15	country16	country17	country18	country19
Kuala Lipis, Malaysia	495.0470527903885	469.1801670829751	7.21111111111112	0.1911627837120577	3	1148.2730288923722	67.60295899706793	269.2651704817253																		7.4333333333333425	7.233333333333343	6.966666666666677																		California	Massachusetts	Massachusetts																		United States	United States	United States																	
Caboolture, Queensland, Australia	493.09744811288846	268.28156845928345	7.819047619047628	0.37368059651073104	7	870.3925066163675	389.67219352023943	224.60348593813706	435.26949857229056	911.2733763680361	180.62937966353087	439.84169611161786														7.20000000000001	8.03333333333334	7.533333333333342	8.400000000000006	7.6000000000000085	8.100000000000007	7.866666666666674														Victoria	California	California	California	Pennsylvania	Aargau	Aargau														Australia	United States	United States	United States	United States	Switzerland	Switzerland													
Queanbeyan, New South Wales, Australia	492.7295976168039	156.91883850496652	6.97500000000001	1.3577708446813306	4	641.3638617941766	506.19514909916927	589.2781791220885	234.08120045178143																	4.666666666666686	7.566666666666675	8.166666666666673	7.500000000000009																	Ontario	Île-de-France	Aargau	Victoria																	Canada	France	Switzerland	Australia																
Port Moresby, Papua New Guinea	489.90436397917	242.7923093743124	6.920000000000011	0.8328265125462776	5	473.56544091623755	836.2362962738124	517.828220118808	545.1421916419791	76.74967094501291																8.33333333333334	7.1333333333333435	6.300000000000013	6.933333333333344	5.900000000000015																New South Wales	California	Victoria	Victoria	England																Australia	United States	Australia	Australia	United Kingdom															
Banjarmasin, Kalimantan Selatan, Indonesia	489.8095499049854	369.8554361382985	7.400000000000008	0.533749837366614	5	162.89855319853973	516.1611225294611	215.02043260792595	1186.9822833751832	367.9853578138173																7.1333333333333435	7.800000000000008	7.766666666666675	7.833333333333341	6.466666666666679																New York	California	New South Wales	New South Wales	Aargau																United States	United States	Australia	Australia	Switzerland															
Bairnsdale, Victoria, Australia	489.24648707615773	648.4961969064373	7.50000000000001	0.910433352249841	8	600.023474093044	86.61575939301301	280.024869549008	2159.204297836823	196.67329271782936	297.6479202800178	166.11703804079585	127.66524469873033													7.700000000000008	5.600000000000016	8.266666666666673	7.833333333333341	6.400000000000013	7.800000000000008	8.166666666666673	8.23333333333334													New York	California	California	Pennsylvania	Aargau	Aargau	North Carolina	Aargau													United States	United States	United States	United States	Switzerland	Switzerland	United States	Switzerland												
Bunbury, Western Australia, Australia	489.1355791009627	554.4306907400854	7.3416666666666766	0.414912976150152	8	31.174927863473926	102.09365867413676	27.101085898046474	686.6981248910184	149.09552613692034	143.3701852608288	1401.1780769898705	1372.3730470934058													7.6000000000000085	7.000000000000011	7.266666666666676	6.766666666666678	6.866666666666678	8.03333333333334	7.700000000000008	7.500000000000009													Victoria	New South Wales	Victoria	England	California	Aargau	Aargau	Aargau													Australia	Australia	Australia	United Kingdom	United States	Switzerland	Switzerland	Switzerland												
Moranbah, Queensland, Australia	484.51485004938667	403.30860085207803	6.761111111111123	1.3602037792138504	12	183.77946631346467	446.8739788694754	120.7473676095893	1205.8984710296688	338.5964079391769	1195.6346614386064	1055.7603948194117	367.6348218321805	152.61331060830375	217.21076194222306	440.9435806351963	88.48497755534275									6.833333333333345	6.866666666666678	7.1333333333333435	7.1333333333333435	5.666666666666682	2.7666666666666924	7.500000000000009	6.300000000000013	8.000000000000007	7.733333333333341	7.366666666666676	7.833333333333341									Victoria	New South Wales	Victoria	Victoria	California	Ontario	Ontario	California	California	Aargau	Aargau	Aargau									Australia	Australia	Australia	Australia	United States	Canada	Canada	United States	United States	Switzerland	Switzerland	Switzerland								
Lae, Papua New Guinea	483.6090151769577	186.65095767097822	7.385714285714294	1.1210620167285417	7	568.8498871165197	428.04897526251415	299.34347151896833	853.9484940433747	577.5350924154252	275.67059475052133	381.86659113138074														5.966666666666681	7.666666666666675	8.466666666666672	5.366666666666683	8.200000000000006	8.000000000000007	8.03333333333334														Victoria	Île-de-France	California	California	Aargau	North Carolina	Aargau														Australia	France	United States	United States	Switzerland	United States	Switzerland													
Tasikmalaya, Indonesia	475.5201392562774	390.613374487634	8.100000000000007	0	2	84.90676476864338	866.1335137439114																			8.100000000000007	8.100000000000007																			Victoria	New South Wales																			Australia	Australia																		
