citystring	mean_dist	std_dist	mean_time	std_time	num_guesses	dists0	dists1	dists2	dists3	dists4	dists5	dists6	dists7	dists8	dists9	dists10	dists11	dists12	dists13	dists14	dists15	dists16	dists17	dists18	dists19	dists20	dists21	dists22	dists23	dists24	dists25	dists26	dists27	dists28	dists29	dists30	dists31	dists32	dists33	dists34	dists35	dists36	dists37	dists38	dists39	dists40	dists41	dists42	dists43	dists44	dists45	dists46	dists47	dists48	dists49	dists50	dists51	dists52	dists53	dists54	dists55	dists56	dists57	dists58	dists59	dists60	dists61	dists62	dists63	dists64	dists65	dists66	dists67	dists68	dists69	dists70	dists71	dists72	dists73	dists74	dists75	dists76	dists77	dists78	dists79	dists80	dists81	dists82	dists83	dists84	dists85	dists86	dists87	dists88	dists89	dists90	dists91	dists92	dists93	dists94	dists95	dists96	dists97	dists98	dists99	dists100	dists101	dists102	dists103	dists104	times0	times1	times2	times3	times4	times5	times6	times7	times8	times9	times10	times11	times12	times13	times14	times15	times16	times17	times18	times19	times20	times21	times22	times23	times24	times25	times26	times27	times28	times29	times30	times31	times32	times33	times34	times35	times36	times37	times38	times39	times40	times41	times42	times43	times44	times45	times46	times47	times48	times49	times50	times51	times52	times53	times54	times55	times56	times57	times58	times59	times60	times61	times62	times63	times64	times65	times66	times67	times68	times69	times70	times71	times72	times73	times74	times75	times76	times77	times78	times79	times80	times81	times82	times83	times84	times85	times86	times87	times88	times89	times90	times91	times92	times93	times94	times95	times96	times97	times98	times99	times100	times101	times102	times103	times104	region0	region1	region2	region3	region4	region5	region6	region7	region8	region9	region10	region11	region12	region13	region14	region15	region16	region17	region18	region19	region20	region21	region22	region23	region24	region25	region26	region27	region28	region29	region30	region31	region32	region33	region34	region35	region36	region37	region38	region39	region40	region41	region42	region43	region44	region45	region46	region47	region48	region49	region50	region51	region52	region53	region54	region55	region56	region57	region58	region59	region60	region61	region62	region63	region64	region65	region66	region67	region68	region69	region70	region71	region72	region73	region74	region75	region76	region77	region78	region79	region80	region81	region82	region83	region84	region85	region86	region87	region88	region89	region90	region91	region92	region93	region94	region95	region96	region97	region98	region99	region100	region101	region102	region103	region104	country0	country1	country2	country3	country4	country5	country6	country7	country8	country9	country10	country11	country12	country13	country14	country15	country16	country17	country18	country19	country20	country21	country22	country23	country24	country25	country26	country27	country28	country29	country30	country31	country32	country33	country34	country35	country36	country37	country38	country39	country40	country41	country42	country43	country44	country45	country46	country47	country48	country49	country50	country51	country52	country53	country54	country55	country56	country57	country58	country59	country60	country61	country62	country63	country64	country65	country66	country67	country68	country69	country70	country71	country72	country73	country74	country75	country76	country77	country78	country79	country80	country81	country82	country83	country84	country85	country86	country87	country88	country89	country90	country91	country92	country93	country94	country95	country96	country97	country98	country99	country100	country101	country102	country103	country104
Cirta, Berber Kingdom of Numidia	3740.0099134171505	0	4.766666666666685	0	1	3740.0099134171505																																																																																																									4.766666666666685																																																																																																									California																																																																																																									United States																																																																																																								
Tsar Bomba Nuclear Test Site	3739.5460041645115	3661.89298544905	5.026666666666683	1.84648615242874	5	2490.2610706843625	79.1279122201603	9810.18468191343	460.8020633922116	5857.354292612394																																																																																																					5.500000000000016	7.033333333333344	1.5333333333333603	5.7333333333333485	5.33333333333335																																																																																																					Saxony	Florida	New York	South Carolina	Aargau																																																																																																					Germany	United States	United States	United States	Switzerland																																																																																																				
Borobudur Temple	3726.907201519301	1050.0890638092417	6.227777777777791	1.5983112229575567	6	2560.134554254734	4912.322976446957	4468.617148287378	2925.801024275278	2594.7174594547523	4899.850046396703																																																																																																				3.2666666666666906	6.100000000000014	7.1333333333333435	8.166666666666673	5.366666666666683	7.333333333333343																																																																																																				England	England	Alberta	Alberta	Ontario	Aargau																																																																																																				United Kingdom	United Kingdom	Canada	Canada	Canada	Switzerland																																																																																																			
Parliament Hill	3707.7177534514494	3389.6162691683176	6.44166666666668	1.9872335600583526	8	10110.265416631888	6464.113045195404	827.5998414323018	5287.407416888631	5287.407416888631	766.3656025972928	82.70093197360745	835.8823560038439																																																																																																		9.866666666666667	2.866666666666692	6.866666666666678	4.566666666666686	5.600000000000016	7.733333333333341	6.600000000000012	7.4333333333333425																																																																																																		California	California	Saxony	England	England	Saxony	California	Aargau																																																																																																		United States	United States	Germany	United Kingdom	United Kingdom	Germany	United States	Switzerland																																																																																																	
Cave of the Crystals (Cueva de los Cristales)	3690.32845128334	3749.6663783768395	7.072727272727283	1.5901094671559595	11	1761.3547608864799	9472.968323640373	515.4047276234962	866.9108643659039	8942.439625507473	716.5640719701343	10025.077904496698	4977.485879543062	349.8809446356953	1077.0323072504098	1888.4935541970212																																																																																															7.10000000000001	9.8	7.466666666666676	7.533333333333342	7.266666666666676	7.866666666666674	3.9000000000000217	4.266666666666687	8.13333333333334	7.566666666666675	6.900000000000011																																																																																															Alberta	Västerbotten	Alberta	California	Aargau	California	California	California	California	California	Aargau																																																																																															Canada	Sweden	Canada	United States	Switzerland	United States	United States	United States	United States	United States	Switzerland																																																																																														
Debre Damo Monastery	3681.9269885922326	3770.8886637624873	6.618181818181831	0.9811726272771267	11	655.8828201647874	4508.283579272439	722.8074426850817	5462.890372183036	14069.434418581173	4433.816160095524	2799.171931119233	5087.177536818861	866.864388617129	1471.110216934737	423.75800804256136																																																																																															7.633333333333342	6.6666666666666785	4.233333333333354	7.566666666666675	8.066666666666674	6.500000000000012	6.2000000000000135	6.833333333333345	6.733333333333345	6.533333333333346	5.833333333333348																																																																																															Florida	Saxony	Florida	Alberta	Alberta	Ontario	Aargau	Aargau	Aargau	Aargau	Aargau																																																																																															United States	Germany	United States	Canada	Canada	Canada	Switzerland	Switzerland	Switzerland	Switzerland	Switzerland																																																																																														
Magura Cave Prehistoric Paintings	3656.7622079151724	2879.7387367089505	5.766666666666681	1.6062378404208952	13	1385.2859051920154	1876.5899795968612	1535.68599097764	5614.370005904039	4391.424383198514	8351.417286548261	1574.2254236701228	4056.096923484535	10735.019570374732	2252.8746581678506	648.8077792389857	2039.8112755657714	3076.299520977912																																																																																													4.933333333333351	2.43333333333336	4.533333333333353	5.866666666666681	6.733333333333345	7.800000000000008	8.266666666666673	3.666666666666689	6.066666666666681	5.100000000000017	7.633333333333342	6.400000000000013	5.533333333333349																																																																																													California	England	England	Alberta	England	Alberta	Ontario	Alberta	Pennsylvania	Nouvelle-Aquitaine	Florida	Aargau	Aargau																																																																																													United States	United Kingdom	United Kingdom	Canada	United Kingdom	Canada	Canada	Canada	United States	France	United States	Switzerland	Switzerland																																																																																												
Blue Mustang Statue (Blucifer)	3618.055792650845	3624.2909819589236	6.323809523809538	1.3179727441017128	7	8542.716381392602	9943.34847015175	1231.1092762610388	2055.833117117716	1948.0651909707287	1476.0634472778513	129.2546653842267																																																																																																			4.366666666666687	8.700000000000005	7.066666666666677	6.733333333333345	5.900000000000015	5.000000000000018	6.500000000000012																																																																																																			New York	Västerbotten	Alberta	Aargau	South Carolina	Île-de-France	California																																																																																																			United States	Sweden	Canada	Switzerland	United States	France	United States																																																																																																		
Devil's Island (penal colony of Cayenne)	3593.8479140749932	5454.2109677776825	6.372222222222234	1.0882225852562148	6	1249.4891078925446	132.1927501805487	148.300470178332	15590.728844146393	3071.5087247319125	1370.867587320225																																																																																																				6.800000000000011	7.033333333333344	7.666666666666675	5.7333333333333485	4.30000000000002	6.700000000000012																																																																																																				Aargau	Aargau	Aargau	Alberta	California	California																																																																																																				Switzerland	Switzerland	Switzerland	Canada	United States	United States																																																																																																			
Millennium Seed Bank (MSB)	3578.280793132171	1917.3452665895659	6.944444444444454	0.23147407395555095	3	6117.5824495045335	1485.052627697961	3132.207302194018																																																																																																							6.833333333333345	7.266666666666676	6.733333333333345																																																																																																							Aargau	England	California																																																																																																							Switzerland	United Kingdom	United States																																																																																																						
Giant Magellan Telescope (GMT)	3495.411787560201	4612.416636234522	5.9866666666666815	2.2409918439040353	10	11244.36712784545	439.569025478557	355.77341998925243	10601.219580975952	134.619316153926	151.51606891771695	387.5365570199052	1450.2049906581274	535.2662638456421	9654.045524717481																																																																																																6.000000000000014	8.03333333333334	8.000000000000007	4.266666666666687	1.9333333333333615	8.100000000000007	6.900000000000011	5.966666666666681	8.200000000000006	2.4666666666666934																																																																																																Alberta	Alberta	Alberta	England	Alberta	Alberta	England	Aargau	California	England																																																																																																Canada	Canada	Canada	United Kingdom	Canada	Canada	United Kingdom	Switzerland	United States	United Kingdom																																																																																															
Denali (formerly Mount McKinley)	3492.290804377235	3657.49233184783	5.668518518518532	2.644945615959887	18	9017.74336295533	2783.2167902998635	11813.833000773277	2944.4330479359446	533.7036075084607	339.34359371078256	2652.0173994423058	3264.450457841002	189.2267022761369	3848.1828975244384	2480.691167742397	11965.019208113488	99.55221958120356	538.9123590407502	5443.751236402831	632.7846543102804	2907.5666397793066	1406.806133552444																																																																																								0.666666666666692	4.533333333333353	4.233333333333354	5.833333333333348	5.833333333333348	7.233333333333343	6.633333333333345	6.033333333333347	8.366666666666672	0.23333333333335882	0.7000000000000254	4.700000000000019	7.666666666666675	7.866666666666674	9.333333333333336	7.866666666666674	7.333333333333343	6.966666666666677																																																																																								Burgenland	England	England	Saxony	Alberta	Florida	Ontario	Aargau	New York	Florida	New York	England	Alberta	Pennsylvania	Nouvelle-Aquitaine	Florida	Aargau	Aargau																																																																																								Austria	United Kingdom	United Kingdom	Germany	Canada	United States	Canada	Switzerland	United States	United States	United States	United Kingdom	Canada	United States	France	United States	Switzerland	Switzerland																																																																																							
Apollo 11 Splashdown (First Moon Landing)	3486.6852004353113	3928.8507477893104	7.111111111111121	0.8495459934940092	3	787.4659383783821	9042.179260345836	630.4104025817168																																																																																																							5.966666666666681	7.366666666666676	8.000000000000007																																																																																																							California	Aargau	California																																																																																																							United States	Switzerland	United States																																																																																																						
Chapel of the Rosario, Puebla	3482.384728798584	3596.013052291789	6.27916666666668	1.965037284068104	8	6999.776262796516	315.45802720418027	11053.703714743524	34.19761779557321	3351.875370985467	3306.615903717303	2644.306914618506	153.14401852760426																																																																																																		7.366666666666676	7.166666666666677	7.700000000000008	8.166666666666673	6.100000000000014	3.033333333333358	3.000000000000025	7.700000000000008																																																																																																		Alberta	California	Alberta	Alberta	Florida	Florida	Florida	Aargau																																																																																																		Canada	United States	Canada	Canada	United States	United States	United States	Switzerland																																																																																																	
Chichen Itza	3426.03888245806	5167.874028933236	6.825000000000012	0.6939720615573935	8	4251.508110405212	4047.6089135370216	1010.3880544663614	1128.7899644929282	74.66894054269746	16452.05547680464	343.80697678041923	99.48462263520422																																																																																																		7.366666666666676	6.26666666666668	7.533333333333342	6.566666666666679	7.966666666666674	5.700000000000015	6.6666666666666785	6.533333333333346																																																																																																		Saxony	Aargau	Alberta	Aargau	Aargau	California	California	California																																																																																																		Germany	Switzerland	Canada	Switzerland	Switzerland	United States	United States	United States																																																																																																	
Battle of the Trebia	3385.251774012242	0	7.066666666666677	0	1	3385.251774012242																																																																																																									7.066666666666677																																																																																																									Aargau																																																																																																									Switzerland																																																																																																								
Vostok 1 (Yuri Gagarin) Launch Site	3245.8545374436053	2095.500734058674	5.518518518518535	1.6680817038276927	9	3179.949866433179	6283.796494021449	5446.438550324216	1724.2658971494454	516.3290417290119	5083.831098459345	1804.1161801574383	4749.569425562926	424.3942831554371																																																																																																	2.2000000000000277	5.533333333333349	4.200000000000021	6.36666666666668	7.10000000000001	4.066666666666688	7.766666666666675	6.900000000000011	5.533333333333349																																																																																																	California	Saxony	Saxony	Florida	Saxony	Aargau	Florida	Aargau	Aargau																																																																																																	United States	Germany	Germany	United States	Germany	Switzerland	United States	Switzerland	Switzerland																																																																																																
Obelisk of Axum	3221.790040919062	1910.0780803983398	5.4848484848485	1.9461624313932209	11	5822.53027347106	5601.826170413414	3792.856753577852	5762.295020449265	2835.5878093092297	4368.395305303115	1516.9663643174342	1540.1595796981912	712.7950101621453	2979.594211096727	506.6839523112425																																																																																															6.866666666666678	6.700000000000012	5.966666666666681	4.000000000000021	6.000000000000014	0.10000000000002551	6.066666666666681	6.2000000000000135	4.466666666666686	6.6666666666666785	7.30000000000001																																																																																															Alberta	Alberta	Florida	Florida	Florida	Florida	England	England	England	Aargau	Ontario																																																																																															Canada	Canada	United States	United States	United States	United States	United Kingdom	United Kingdom	United Kingdom	Switzerland	Canada																																																																																														
Florence Nightingale Pioneers Modern Nursing	3162.006884607687	2348.757826224007	6.533333333333346	0.7547381198996282	6	2561.142922551364	1446.376537289448	2620.4140376613377	1493.1615301994711	8295.196851482848	2555.749428461655																																																																																																				7.400000000000009	7.233333333333343	6.066666666666681	6.833333333333345	5.166666666666684	6.500000000000012																																																																																																				Florida	Aargau	England	Ontario	Maryland	Aargau																																																																																																				United States	Switzerland	United Kingdom	Canada	United States	Switzerland																																																																																																			
Great Barrier Reef	3132.3227551667455	3732.900745857641	6.875000000000012	1.5039531242694981	8	11682.50635903659	2322.886370917936	2070.096246288427	829.339385060463	6480.370858019284	366.53883366884327	912.8584826000516	393.98550574236873																																																																																																		4.600000000000019	6.900000000000011	8.33333333333334	8.366666666666672	4.366666666666687	7.033333333333344	8.366666666666672	7.033333333333344																																																																																																		North Rhine-Westphalia	Saxony	Alberta	Alberta	California	Aargau	California	Ontario																																																																																																		Germany	Germany	Canada	Canada	United States	Switzerland	United States	Canada																																																																																																	
Galápagos Islands	3028.8824232056795	4575.548030653092	6.345833333333347	2.0047816104392835	8	114.25834558408293	53.667948605800866	146.32927310281616	138.8865574269175	6272.571204452556	13677.890289558449	3793.4845237074437	33.97124320736666																																																																																																		7.666666666666675	8.200000000000006	8.13333333333334	5.033333333333351	1.9333333333333615	7.6000000000000085	5.43333333333335	6.766666666666678																																																																																																		Alberta	Alberta	Aargau	South Carolina	Île-de-France	California	California	California																																																																																																		Canada	Canada	Switzerland	United States	France	United States	United States	United States																																																																																																	
Mount Puncak Jaya	3019.299316006828	1914.2829458231886	6.7500000000000115	0.940360450985563	10	6945.277490242788	3463.1319995508456	1911.9413648417442	205.54498651414926	3223.449739019084	66.99317536461011	4520.931585326369	3942.3259465627043	3052.980614963223	2860.4162576827634																																																																																																5.23333333333335	7.800000000000008	6.333333333333346	7.800000000000008	7.4333333333333425	6.966666666666677	4.9666666666666845	6.633333333333345	6.933333333333344	7.400000000000009																																																																																																Saxony	Alberta	Saxony	Alberta	Saxony	Alberta	Ontario	Aargau	Aargau	California																																																																																																Germany	Canada	Germany	Canada	Germany	Canada	Canada	Switzerland	Switzerland	United States																																																																																															
Abuna Yemata Guh Church	2913.5563366913966	3349.807879135613	6.630769230769243	1.0112581263097993	13	7645.309866186651	291.4027098334996	516.01852083006	5306.824938129134	722.0424409616944	319.9222793386764	1805.4007488820491	8415.836435337573	3198.3405123639473	113.91472448108375	9176.693947224596	48.1376347586785	316.3876186605101																																																																																													8.633333333333338	6.900000000000011	7.400000000000009	7.30000000000001	6.700000000000012	7.266666666666676	6.633333333333345	5.600000000000016	6.100000000000014	7.20000000000001	4.3333333333333535	5.766666666666682	6.36666666666668																																																																																													Florida	Saxony	Aargau	Alberta	Ontario	Aargau	Florida	Alberta	New York	Aargau	England	England	California																																																																																													United States	Germany	Switzerland	Canada	Canada	Switzerland	United States	Canada	United States	Switzerland	United Kingdom	United Kingdom	United States																																																																																												
Bodhi Tree	2894.8065318169884	4050.212584553127	7.579166666666676	0.9058356332384141	8	3354.548851969222	146.2768059857184	1404.4901713781474	3712.056216134823	129.35822739038647	1375.1640339702747	23.552860958777813	13013.005086748557																																																																																																		7.566666666666675	8.466666666666672	7.4333333333333425	8.066666666666674	8.23333333333334	5.533333333333349	8.33333333333334	7.000000000000011																																																																																																		Alberta	Alberta	Florida	Västerbotten	Alberta	New York	Alberta	Aargau																																																																																																		Canada	Canada	United States	Sweden	Canada	United States	Canada	Switzerland																																																																																																	
Christ of the Abyss	2862.265436758428	3118.7506260060068	6.724561403508783	1.432163623295332	19	9127.096219578038	360.7635774842219	2926.7217748168746	1171.6078623010599	1549.5657203988555	2722.038276880451	178.82056884708894	1624.7492344825089	8732.150707965227	1917.989000276757	130.2108574178838	1033.810161916051	89.72623685861711	1174.6647044280871	1471.5131770478488	2686.481186189133	9348.717514148071	727.179787464456	7409.236729908898																																																																																							6.700000000000012	6.800000000000011	6.800000000000011	6.633333333333345	7.733333333333341	7.166666666666677	7.633333333333342	6.6666666666666785	2.6666666666666927	8.400000000000006	7.10000000000001	3.166666666666691	7.966666666666674	6.233333333333347	6.833333333333345	7.1333333333333435	6.566666666666679	8.33333333333334	7.233333333333343																																																																																							Alberta	Saxony	California	Alberta	Ontario	Aargau	Ontario	Aargau	New York	Västerbotten	Alberta	New York	Alberta	New York	Aargau	Aargau	California	California	California																																																																																							Canada	Germany	United States	Canada	Canada	Switzerland	Canada	Switzerland	United States	Sweden	Canada	United States	Canada	United States	Switzerland	Switzerland	United States	United States	United States																																																																																						
Petronas Towers	2742.550696137144	3790.0107144086537	6.700000000000012	1.0709549217611525	8	72.62224553267566	111.82538017899603	3328.8798485294456	51.601103240837254	116.92696085437291	9477.668993395297	171.88482360213945	8608.996213763387																																																																																																		6.333333333333346	8.33333333333334	5.933333333333348	7.166666666666677	6.2000000000000135	8.000000000000007	6.833333333333345	4.8000000000000185																																																																																																		Alberta	Alberta	Saxony	Ontario	Aargau	Västerbotten	Aargau	California																																																																																																		Canada	Canada	Germany	Canada	Switzerland	Sweden	Switzerland	United States																																																																																																	
Joseph Smith Discovers the Golden Plates (Book of Mormon)	2735.5655443466585	3287.370902506783	5.716666666666683	0.8547795903904953	6	952.1872984834918	3124.8044891914906	2617.463937594538	74.41257067379215	41.854113587488555	9602.67085654915																																																																																																				6.933333333333344	4.700000000000019	4.633333333333352	5.533333333333349	6.033333333333347	6.466666666666679																																																																																																				Saxony	South Carolina	Île-de-France	South Carolina	Île-de-France	Aargau																																																																																																				Germany	United States	France	United States	France	Switzerland																																																																																																			
Edward Jenner Develops the First Successful Vaccine	2730.9648953255946	2768.5891093834625	5.905000000000014	1.744492126029165	20	96.0487041217435	78.70585333912878	104.33677390579602	60.67399555334801	5550.04172776827	63.3519799281909	56.80664577231812	113.91753891980329	5809.660573112267	5808.825272594941	83.51407479797017	5534.372874749095	5862.812749984351	856.2374692218166	5765.418226636884	6998.036512055563	89.20465516511352	5617.4689653193645	4792.3803189702885	1277.482994595639																																																																																						3.166666666666691	3.5333333333333563	7.000000000000011	6.700000000000012	6.600000000000012	5.200000000000017	7.933333333333341	7.766666666666675	6.26666666666668	5.200000000000017	7.533333333333342	5.833333333333348	7.500000000000009	2.9666666666666917	3.500000000000023	2.8000000000000256	7.933333333333341	6.600000000000012	6.633333333333345	7.4333333333333425																																																																																						England	England	Alberta	Saxony	Alberta	England	Alberta	England	Saxony	Aargau	Saxony	Aargau	Florida	Florida	Florida	New York	Alberta	Aargau	California	Pennsylvania																																																																																						United Kingdom	United Kingdom	Canada	Germany	Canada	United Kingdom	Canada	United Kingdom	Germany	Switzerland	Germany	Switzerland	United States	United States	United States	United States	Canada	Switzerland	United States	United States																																																																																					
Church of Saint George, Lalibela	2721.9165252846205	2313.1146383117966	6.033333333333348	1.218312650466088	14	3419.3108277463666	397.9359814498894	5781.427762530181	3894.881178512077	367.7662331396464	1383.0307995953383	4204.559880883159	131.20153933511529	693.2635275928848	6221.835166685087	185.97149321435444	5182.787519301225	5657.926201595817	584.9332424035476																																																																																												5.200000000000017	3.933333333333355	5.766666666666682	7.30000000000001	7.266666666666676	7.800000000000008	5.833333333333348	5.833333333333348	7.333333333333343	3.3666666666666902	6.400000000000013	5.700000000000015	6.300000000000013	6.433333333333346																																																																																												Burgenland	Burgenland	Saxony	Alberta	Alberta	Florida	Florida	Florida	Florida	New York	New York	England	Aargau	California																																																																																												Austria	Austria	Germany	Canada	Canada	United States	United States	United States	United States	United States	United States	United Kingdom	Switzerland	United States																																																																																											
Kluane, Nat’l Park, Canada	2714.926010740816	1394.1634225645394	6.6777777777777905	1.524693857147944	6	4177.203274124127	5101.791626027379	1663.359662398818	1996.3416066556701	1527.9372847396053	1822.9226104992988																																																																																																				8.466666666666672	7.633333333333342	5.500000000000016	3.933333333333355	7.6000000000000085	6.933333333333344																																																																																																				Västerbotten	Aargau	South Carolina	Île-de-France	California	California																																																																																																				Sweden	Switzerland	United States	France	United States	United States																																																																																																			
Mount Rushmore	2665.733175257407	4479.186848687608	5.971111111111124	1.884316033360707	15	2318.6151070412934	1671.9870134536832	274.86246287427906	800.803936455318	13975.60017783455	347.66979614777404	805.4720835130457	979.5505164054118	832.6466604755385	905.5040121380454	929.7608434715968	440.2507641467583	207.57904683886366	14030.001008786154	1465.6941992787904																																																																																											0.30000000000002547	6.733333333333345	6.533333333333346	7.766666666666675	6.2000000000000135	7.466666666666676	6.333333333333346	4.100000000000021	6.333333333333346	4.900000000000018	6.26666666666668	4.40000000000002	8.200000000000006	6.833333333333345	7.20000000000001																																																																																											Schleswig-Holstein	Saxony	Alberta	Ontario	Aargau	Ontario	Aargau	Florida	Florida	Florida	Florida	Florida	Alberta	Aargau	California																																																																																											Germany	Germany	Canada	Canada	Switzerland	Canada	Switzerland	United States	United States	United States	United States	United States	Canada	Switzerland	United States																																																																																										
The Little Mermaid (statue)	2631.6065307818594	2807.3635405302916	6.300000000000013	1.4502107126590593	10	2311.0602925411536	233.95715574358002	1330.0212160986462	7790.719821942428	2449.182558273601	683.8079898672045	8197.935969020667	2459.5777470219105	190.08178985336082	669.7207674560369																																																																																																7.666666666666675	6.133333333333347	6.2000000000000135	6.400000000000013	8.533333333333339	5.200000000000017	7.30000000000001	6.100000000000014	2.866666666666692	6.600000000000012																																																																																																Alberta	Saxony	California	Florida	Florida	Florida	Aargau	South Carolina	Île-de-France	Aargau																																																																																																Canada	Germany	United States	United States	United States	United States	Switzerland	United States	France	Switzerland																																																																																															
Monasterio del Escorial	2599.921946852897	3559.210946212823	7.479166666666676	0.5112450760425726	8	7889.813849034473	104.3171708334566	8992.35825925616	93.46387838699236	24.612392185411263	67.18948321151969	3502.6546563969337	124.96588551822548																																																																																																		7.733333333333341	6.933333333333344	6.400000000000013	7.6000000000000085	7.633333333333342	7.700000000000008	8.13333333333334	7.700000000000008																																																																																																		Alberta	Ontario	Aargau	Alberta	Aargau	Aargau	Västerbotten	Aargau																																																																																																		Canada	Canada	Switzerland	Canada	Switzerland	Switzerland	Sweden	Switzerland																																																																																																	
Trinity Nuclear Test Site	2531.005705763397	2869.9344481394683	7.083333333333345	0.7688736350445776	10	2779.7766271716014	4129.368665755906	2544.1245967040013	562.8340349787063	688.8023491670991	10261.923709166947	330.3704716704377	608.831562707119	2885.629805482428	518.3952348297191																																																																																																7.400000000000009	7.733333333333341	6.733333333333345	7.000000000000011	6.966666666666677	5.300000000000017	7.733333333333341	6.333333333333346	7.866666666666674	7.766666666666675																																																																																																Alberta	Saxony	Aargau	Alberta	Florida	Aargau	California	Aargau	California	California																																																																																																Canada	Germany	Switzerland	Canada	United States	Switzerland	United States	Switzerland	United States	United States																																																																																															
Moai Statues of Easter Island	2512.750484183981	2537.3719687333273	6.352941176470601	1.2045696665229049	17	6600.638881831003	58.6076403555731	7560.426756349482	51.145984936525316	6489.041864933005	42.37504581561751	19.73480406649965	42.37504581561751	48.73706580091306	3520.2263644793175	2340.731063099629	28.380103649122184	2982.097395403446	3985.8274118049844	4155.768564856862	1268.099087344344	3522.545150585742																																																																																									4.900000000000018	6.300000000000013	6.600000000000012	7.500000000000009	7.20000000000001	8.200000000000006	6.066666666666681	8.13333333333334	8.13333333333334	6.16666666666668	5.566666666666682	5.2666666666666835	4.866666666666685	6.600000000000012	7.10000000000001	4.200000000000021	5.200000000000017																																																																																									Saxony	Florida	Alberta	Alberta	Saxony	Alberta	Saxony	Alberta	Alberta	England	Florida	England	England	Aargau	Aargau	California	California																																																																																									Germany	United States	Canada	Canada	Germany	Canada	Germany	Canada	Canada	United Kingdom	United States	United Kingdom	United Kingdom	Switzerland	Switzerland	United States	United States																																																																																								
Lake Titicaca	2471.4237398150017	3026.924875959459	6.935897435897447	1.6732414694602844	13	63.46396194329248	622.7007846642955	192.90605604099446	6059.702530156653	223.89654579356755	8152.436983865964	44.80502820620349	5326.819988389255	172.32342071994213	1334.3420114110215	1628.5072042036954	7862.231781410427	444.3723207897051																																																																																													7.066666666666677	6.000000000000014	8.066666666666674	7.766666666666675	8.066666666666674	7.233333333333343	8.200000000000006	6.733333333333345	8.23333333333334	7.533333333333342	1.7000000000000275	6.066666666666681	7.500000000000009																																																																																													Florida	Alberta	Alberta	Saxony	Alberta	England	Ontario	Aargau	Ontario	Aargau	New York	California	California																																																																																													United States	Canada	Canada	Germany	Canada	United Kingdom	Canada	Switzerland	Canada	Switzerland	United States	United States	United States																																																																																												
Three Mile Island Nuclear Incident	2457.647595804608	3558.2773523345813	6.143478260869579	1.577267091072572	23	9247.673741716562	387.5021730423807	290.13333755038707	11465.618352900952	177.3098608832655	236.32873493797237	10468.6570539276	1367.6286505342996	356.20082155993595	464.70937809853996	1193.2492493268958	308.78624643975354	2139.938214931328	74.76305377030917	4798.50937958942	192.26725758564282	2451.6703114720635	108.22078603450964	225.19444031983008	189.8990698434053	7717.884601916206	2479.5901792554496	184.15980786928372																																																																																			3.8333333333333552	5.500000000000016	4.566666666666686	2.733333333333359	6.800000000000011	7.9000000000000075	6.400000000000013	7.4333333333333425	8.03333333333334	5.833333333333348	5.366666666666683	4.40000000000002	7.10000000000001	8.000000000000007	3.8333333333333552	6.466666666666679	6.633333333333345	7.166666666666677	7.633333333333342	8.300000000000006	5.533333333333349	4.133333333333354	7.700000000000008																																																																																			California	England	England	Saxony	Florida	Florida	Alberta	Saxony	Alberta	Florida	Florida	Florida	Alberta	Pennsylvania	Nouvelle-Aquitaine	Florida	Aargau	Aargau	Aargau	Aargau	Baden-Württemberg	Aargau	Aargau																																																																																			United States	United Kingdom	United Kingdom	Germany	United States	United States	Canada	Germany	Canada	United States	United States	United States	Canada	United States	France	United States	Switzerland	Switzerland	Switzerland	Switzerland	Germany	Switzerland	Switzerland																																																																																		
