citystring	mean_dist	std_dist	mean_time	std_time	num_guesses	dists0	dists1	dists2	dists3	dists4	dists5	dists6	dists7	dists8	dists9	dists10	dists11	dists12	dists13	dists14	dists15	dists16	dists17	dists18	dists19	dists20	dists21	dists22	dists23	dists24	dists25	dists26	dists27	dists28	dists29	dists30	dists31	dists32	dists33	dists34	dists35	dists36	dists37	dists38	dists39	dists40	dists41	dists42	dists43	dists44	dists45	dists46	dists47	dists48	dists49	dists50	dists51	dists52	dists53	dists54	dists55	dists56	dists57	dists58	dists59	dists60	dists61	dists62	dists63	dists64	dists65	dists66	dists67	dists68	dists69	dists70	dists71	dists72	dists73	dists74	dists75	dists76	dists77	dists78	dists79	dists80	dists81	dists82	dists83	dists84	dists85	dists86	dists87	dists88	dists89	dists90	dists91	dists92	dists93	dists94	dists95	dists96	dists97	dists98	dists99	dists100	dists101	dists102	dists103	dists104	times0	times1	times2	times3	times4	times5	times6	times7	times8	times9	times10	times11	times12	times13	times14	times15	times16	times17	times18	times19	times20	times21	times22	times23	times24	times25	times26	times27	times28	times29	times30	times31	times32	times33	times34	times35	times36	times37	times38	times39	times40	times41	times42	times43	times44	times45	times46	times47	times48	times49	times50	times51	times52	times53	times54	times55	times56	times57	times58	times59	times60	times61	times62	times63	times64	times65	times66	times67	times68	times69	times70	times71	times72	times73	times74	times75	times76	times77	times78	times79	times80	times81	times82	times83	times84	times85	times86	times87	times88	times89	times90	times91	times92	times93	times94	times95	times96	times97	times98	times99	times100	times101	times102	times103	times104	region0	region1	region2	region3	region4	region5	region6	region7	region8	region9	region10	region11	region12	region13	region14	region15	region16	region17	region18	region19	region20	region21	region22	region23	region24	region25	region26	region27	region28	region29	region30	region31	region32	region33	region34	region35	region36	region37	region38	region39	region40	region41	region42	region43	region44	region45	region46	region47	region48	region49	region50	region51	region52	region53	region54	region55	region56	region57	region58	region59	region60	region61	region62	region63	region64	region65	region66	region67	region68	region69	region70	region71	region72	region73	region74	region75	region76	region77	region78	region79	region80	region81	region82	region83	region84	region85	region86	region87	region88	region89	region90	region91	region92	region93	region94	region95	region96	region97	region98	region99	region100	region101	region102	region103	region104	country0	country1	country2	country3	country4	country5	country6	country7	country8	country9	country10	country11	country12	country13	country14	country15	country16	country17	country18	country19	country20	country21	country22	country23	country24	country25	country26	country27	country28	country29	country30	country31	country32	country33	country34	country35	country36	country37	country38	country39	country40	country41	country42	country43	country44	country45	country46	country47	country48	country49	country50	country51	country52	country53	country54	country55	country56	country57	country58	country59	country60	country61	country62	country63	country64	country65	country66	country67	country68	country69	country70	country71	country72	country73	country74	country75	country76	country77	country78	country79	country80	country81	country82	country83	country84	country85	country86	country87	country88	country89	country90	country91	country92	country93	country94	country95	country96	country97	country98	country99	country100	country101	country102	country103	country104
Vela Incident	8415.03671861746	4591.801728933128	7.079166666666677	1.0969575981879218	8	14276.386135699362	10995.821226486867	8745.47684933619	10478.447311121054	861.4440936400139	11082.846101070541	9990.650712141198	889.2213194444629																																																																																																		6.26666666666668	6.766666666666678	7.566666666666675	8.833333333333337	4.9666666666666845	7.400000000000009	8.03333333333334	6.800000000000011																																																																																																		Burgenland	Ontario	Aargau	Västerbotten	England	California	Aargau	Aargau																																																																																																		Austria	Canada	Switzerland	Sweden	United Kingdom	United States	Switzerland	Switzerland																																																																																																	
Harappa, Indus Valley Civilization	7796.464991909347	7107.37185375701	6.916666666666678	0.6166666666666645	2	14903.836845666357	689.0931381523377																																																																																																								6.300000000000013	7.533333333333342																																																																																																								California	California																																																																																																								United States	United States																																																																																																							
Antelope Canyon	7241.7248462218595	6907.041017557628	5.829629629629643	1.858211302716087	9	516.1167841657307	398.03511097520567	337.31134399520806	1734.7804936379166	14168.460405908412	15014.929976578416	14584.27788926966	15890.164206900574	2531.4474045656066																																																																																																	1.4000000000000266	7.066666666666677	8.03333333333334	7.333333333333343	6.800000000000011	5.533333333333349	4.566666666666686	6.16666666666668	5.566666666666682																																																																																																	Florida	Florida	Florida	Västerbotten	Aargau	South Carolina	Île-de-France	England	California																																																																																																	United States	United States	United States	Sweden	Switzerland	United States	France	United Kingdom	United States																																																																																																
Ellora Caves	7178.177598541756	4460.848462520676	7.02500000000001	1.2099988521573943	8	7511.64241089801	9605.438447815586	330.1405704324168	5815.471338462706	15954.471406641123	9769.262372752659	5483.0921685178	2955.9020728137457																																																																																																		6.500000000000012	8.066666666666674	7.866666666666674	7.000000000000011	8.100000000000007	7.20000000000001	4.133333333333354	7.333333333333343																																																																																																		Saxony	Florida	Saxony	Florida	Ontario	England	England	Aargau																																																																																																		Germany	United States	Germany	United States	Canada	United Kingdom	United Kingdom	Switzerland																																																																																																	
That Wanaka Tree	7102.504482524613	6744.772530739725	4.995238095238113	2.063548228783853	7	14621.637640282885	2019.6454375173848	168.69790219983628	3164.841415525364	15857.755052550818	13862.823113838078	22.130815757929298																																																																																																			3.933333333333355	4.8000000000000185	8.33333333333334	6.6666666666666785	1.900000000000028	3.1000000000000245	6.233333333333347																																																																																																			California	Alberta	Alberta	Florida	Florida	New York	New York																																																																																																			United States	Canada	Canada	United States	United States	United States	United States																																																																																																		
Waitomo Glowworm Caves	6514.667849350516	7195.950059188743	5.951851851851867	1.9015335663558584	9	18984.47403352928	157.11881201199967	456.37026578343966	573.5799715913246	530.7451243218795	15064.46117623044	13256.89993583545	9157.671274613298	450.69005023753795																																																																																																	5.366666666666683	5.466666666666683	7.10000000000001	7.6000000000000085	8.03333333333334	5.933333333333348	1.6000000000000272	4.733333333333352	7.733333333333341																																																																																																	Ontario	Aargau	Florida	Pennsylvania	Florida	South Carolina	Île-de-France	Aargau	California																																																																																																	Canada	Switzerland	United States	United States	United States	United States	France	Switzerland	United States																																																																																																
Boll Weevil Monument	6436.0593695937005	4651.755244084851	6.759259259259271	1.546144370447372	9	8421.150786506643	666.5447093298991	8220.735700147427	2568.218531509285	869.284664988033	13369.218890668339	2804.2356535394542	13153.554177801327	7851.591211852885																																																																																																	8.800000000000004	7.333333333333343	6.066666666666681	2.9333333333333584	6.533333333333346	7.400000000000009	7.9000000000000075	7.1333333333333435	6.733333333333345																																																																																																	Västerbotten	Västerbotten	England	England	Alberta	Aargau	Aargau	Aargau	California																																																																																																	Sweden	Sweden	United Kingdom	United Kingdom	Canada	Switzerland	Switzerland	Switzerland	United States																																																																																																
Taal Volcano	6398.338841691295	5114.019120910932	7.060000000000011	0.802052921501371	10	2429.6867607462605	197.05125817477514	9701.607781693316	11341.825551997425	13449.439503424612	1689.900320066078	2309.395973840322	10996.5839850297	375.4389681015655	11492.458313838888																																																																																																8.100000000000007	8.23333333333334	5.900000000000015	6.433333333333346	7.333333333333343	5.766666666666682	6.800000000000011	7.533333333333342	7.000000000000011	7.500000000000009																																																																																																Alberta	Alberta	Ontario	Aargau	Pennsylvania	Nouvelle-Aquitaine	Florida	Aargau	California	Aargau																																																																																																Canada	Canada	Canada	Switzerland	United States	France	United States	Switzerland	United States	Switzerland																																																																																															
Mount Aconcagua	6321.718758467873	4849.800311842927	5.279166666666683	2.597965951149725	8	1386.529577784601	84.9446203852749	10529.880332963565	9488.516753719703	6793.597655754653	14992.847596455871	1715.7394102724443	5581.6941204068735																																																																																																		7.566666666666675	7.366666666666676	6.233333333333347	2.1333333333333613	3.8333333333333552	0.4666666666666921	7.166666666666677	7.466666666666676																																																																																																		Alberta	Aargau	Alberta	Florida	Florida	Florida	Alberta	Saxony																																																																																																		Canada	Switzerland	Canada	United States	United States	United States	Canada	Germany																																																																																																	
Hetch Hetchy Valley	5823.8778211614035	5891.559779701363	6.606666666666678	1.1098348225449248	5	13812.337352391207	11950.449719018612	144.27641328993292	128.68145473960385	3083.6441663676665																																																																																																					4.900000000000018	7.366666666666676	7.6000000000000085	7.500000000000009	5.666666666666682																																																																																																					Florida	Alberta	Alberta	Aargau	Ontario																																																																																																					United States	Canada	Canada	Switzerland	Canada																																																																																																				
